Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
42,"S Angelina, NM Nugraha","Effects of Monetary Policy on Inflation and National Economy Based on Analysis of Bank Indonesia Annual Report",2020,"Technium Soc. Sci. J.","HeinOnline","https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/techssj10&section=38","https://scholar.google.com/scholar?cites=4582739094250153932&as_sdt=2005&sciodt=0,5&hl=en",1,"2023-02-09 12:33:15","","","","",,,,,42,14.00,21,2,3,"… on inflation, the exchange rate had a significant and positive effect on inflation. Meanwhile, the national economy has no significant and positive effect on inflation. If the money supply …","","https://scholar.google.com/scholar?q=related:zGcTA-0omT8J:scholar.google.com/&scioq=effect+of+%22monetary+policy%22+on+inflation&hl=en&as_sdt=0,5"
32,"G Ahiabor","The effects of monetary policy on inflation in Ghana",2013,"Developing Country Studies","academia.edu","https://www.academia.edu/download/78687152/8678-13702-1-PB.pdf","https://scholar.google.com/scholar?cites=12384831939341054341&as_sdt=2005&sciodt=0,5&hl=en",2,"2023-02-09 12:33:15","PDF","","","",,,,,32,3.20,32,1,10,"… , negative relationship between interest rate and inflation, however, a positive … and inflation. The study recommends that monetary policy alone should not be used to control inflation but …","https://www.academia.edu/download/78687152/8678-13702-1-PB.pdf","https://scholar.google.com/scholar?q=related:hfFV-wfD36sJ:scholar.google.com/&scioq=effect+of+%22monetary+policy%22+on+inflation&hl=en&as_sdt=0,5"
317,"JM Roberts","Monetary policy and inflation dynamics",2004,"Available at SSRN 633222","papers.ssrn.com","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=633222","https://scholar.google.com/scholar?cites=3869291110827237497&as_sdt=2005&sciodt=0,5&hl=en",3,"2023-02-09 12:33:15","","","","",,,,,317,16.68,317,1,19,"… and inflation have fallen sharply. This paper examines whether changes in monetary policy … The results suggest that changes in the parameters and shock volatility of monetary policy …","https://www.federalreserve.gov/pubs/feds/2004/200462/200462pap.pdf","https://scholar.google.com/scholar?q=related:eSBv0cN7sjUJ:scholar.google.com/&scioq=effect+of+%22monetary+policy%22+on+inflation&hl=en&as_sdt=0,5"
148,"A Minella","Monetary policy and inflation in Brazil (1975-2000): a VAR estimation",2003,"Revista Brasileira de Economia","SciELO Brasil","https://www.scielo.br/j/rbe/a/NtZfFrtgFz3m5n34wrhtDPH/abstract/?lang=en","https://scholar.google.com/scholar?cites=5082676759387476082&as_sdt=2005&sciodt=0,5&hl=en",4,"2023-02-09 12:33:15","","","","",,,,,148,7.40,148,1,20,"… inflation terms, which give the direct effect of past inflation in the current inflation, the third subsample presents a lower effect of past inflation. The sum of the coefficients on the lagged …","https://www.scielo.br/j/rbe/a/NtZfFrtgFz3m5n34wrhtDPH/?format=pdf&lang=en","https://scholar.google.com/scholar?q=related:cpBsX5VLiUYJ:scholar.google.com/&scioq=effect+of+%22monetary+policy%22+on+inflation&hl=en&as_sdt=0,5"
281,"L Melosi","Signalling effects of monetary policy",2017,"The Review of Economic Studies","academic.oup.com","https://academic.oup.com/restud/article-abstract/84/2/853/2670006","https://scholar.google.com/scholar?cites=15684273265503525573&as_sdt=2005&sciodt=0,5&hl=en",5,"2023-02-09 12:33:15","","","","",,,,,281,46.83,281,1,6,"… explaining why, in the data, inflation expectations respond with delays to monetary … monetary policy is found to signal-persistent inflationary shocks, explaining why inflation and inflation …","https://academic.oup.com/restud/article/84/2/853/2670006?casa_token=QVXNcuEipl0AAAAA:jDCFif2hBDJSwxictbCjaRkJOVXV4hIIWKoScC72d4xf8JLNh5e_cST3jIBnEqsSj466chPdRDZTZA","https://scholar.google.com/scholar?q=related:xVp-pm-7qdkJ:scholar.google.com/&scioq=effect+of+%22monetary+policy%22+on+inflation&hl=en&as_sdt=0,5"
5,"PW Allor","The effect of monetary policy and inflation on the exchange rate: A case study of Ghana",2020,"Journal of Economics and International Finance","academicjournals.org","https://academicjournals.org/journal/JEIF/article-full-text/DA3FEE364890","https://scholar.google.com/scholar?cites=11977767870842351630&as_sdt=2005&sciodt=0,5&hl=en",6,"2023-02-09 12:33:15","HTML","","","",,,,,5,1.67,5,1,3,"… the contribution of inflation and monetary policy in this … of the impact of monetary policy and inflation on exchange rates in … -run depreciation effect of contractionary monetary policy on …","https://academicjournals.org/journal/JEIF/article-full-text/DA3FEE364890","https://scholar.google.com/scholar?q=related:DjCl52qUOaYJ:scholar.google.com/&scioq=effect+of+%22monetary+policy%22+on+inflation&hl=en&as_sdt=0,5"
117,"J De Gregorio","Commodity prices, monetary policy, and inflation",2012,"IMF Economic Review","Springer","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1057/imfer.2012.15&casa_token=u87buhu2FyAAAAAA:Fsx519LkwZNztHqDiGzmyzVaupI8NaTVbhkfXNYJl6NweLApzHxCR0YT0qRUobsSiKZs6v_zFqrluFNR","https://scholar.google.com/scholar?cites=1434792433444264464&as_sdt=2005&sciodt=0,5&hl=en",7,"2023-02-09 12:33:15","HTML","10.1057/imfer.2012.15","","",,,,,117,10.64,117,1,11,"… inflation measures. This paper discusses the role of commodity price shocks (CPS) in monetary policy … on managing monetary policy when confronting commodity price inflation shocks. …","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1057/imfer.2012.15&casa_token=u87buhu2FyAAAAAA:Fsx519LkwZNztHqDiGzmyzVaupI8NaTVbhkfXNYJl6NweLApzHxCR0YT0qRUobsSiKZs6v_zFqrluFNR","https://scholar.google.com/scholar?q=related:EBrdyR1o6RMJ:scholar.google.com/&scioq=effect+of+%22monetary+policy%22+on+inflation&hl=en&as_sdt=0,5"
200,"C Martin, C Milas","Modelling monetary policy: inflation targeting in practice",2004,"Economica","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.0013-0427.2004.00366.x?casa_token=ADB8Bhk3JiMAAAAA:kue_YZJ79GQES9VKI5RI7IlEwevbdVvyfU9w0H3DQl8YzWi_-_YH198SAPJSCtogi4qo1npTO5xYQ38","https://scholar.google.com/scholar?cites=11606467721619108082&as_sdt=2005&sciodt=0,5&hl=en",8,"2023-02-09 12:33:15","","10.1111/j.0013-0427.2004.00366.x","","",,,,,200,10.53,100,2,19,"… model of monetary policy in the UK focusing on the policy of inflation targeting introduced … inflation targeting led to significant changes in monetary policy; (ii) post-1992 monetary policy …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.0013-0427.2004.00366.x?casa_token=mn0IS8ivcn0AAAAA:8WLMt4bGTn89-rTIcKV5z7ajTJ5pCsqAQQhI8xGt-WjgSg4-hFNdnjfQNWRtgHbEDEfoWpbQW_b7-6Y","https://scholar.google.com/scholar?q=related:8vAkLOZ0EqEJ:scholar.google.com/&scioq=effect+of+%22monetary+policy%22+on+inflation&hl=en&as_sdt=0,5"
104,"MS Copelovitch, DA Singer","Financial regulation, monetary policy, and inflation in the industrialized world",2008,"The Journal of Politics","journals.uchicago.edu","https://www.journals.uchicago.edu/doi/abs/10.1017/S0022381608080687?casa_token=BWW6UqVaL7QAAAAA:whd1ESLc2-m9CNr-pVLA2d8g7wjocXgaqyPY3EjJJoEzV73iCtUD2QXLLmVgDtHBwaRKUr6oJQg","https://scholar.google.com/scholar?cites=14372611626294733345&as_sdt=2005&sciodt=0,5&hl=en",9,"2023-02-09 12:33:15","","10.1017/S0022381608080687","","",,,,,104,6.93,52,2,15,"… dual goals of financial stability and low inflation. Specifically, we argue that monetary policy makers have a less aggressive stance toward inflation when governments combine the bank …","https://www.journals.uchicago.edu/doi/pdf/10.1017/S0022381608080687?casa_token=rnoqobSiXogAAAAA:qMzoPpzWcMI3uzFauptU-AXtfh6K7nkQOmTPbkN0xqkjomdGrA9BTLJevHWXTre4UWsulmiNBhE","https://scholar.google.com/scholar?q=related:IWry7x_GdccJ:scholar.google.com/&scioq=effect+of+%22monetary+policy%22+on+inflation&hl=en&as_sdt=0,5"
396,"O Coibion, Y Gorodnichenko","Monetary policy, trend inflation, and the great moderation: An alternative interpretation",2011,"American Economic Review","aeaweb.org","https://www.aeaweb.org/articles?id=10.1257/aer.101.1.341","https://scholar.google.com/scholar?cites=2289034150370980510&as_sdt=2005&sciodt=0,5&hl=en",10,"2023-02-09 12:33:15","","","","",,,,,396,33.00,198,2,12,"… the effects of endogenous monetary policy for determinacy in New Keynesian models with positive trend inflation. … evidence on actual monetary policy to provide novel insight into how …","https://www.nber.org/system/files/working_papers/w14621/w14621.pdf","https://scholar.google.com/scholar?q=related:nrKZk25IxB8J:scholar.google.com/&scioq=effect+of+%22monetary+policy%22+on+inflation&hl=en&as_sdt=0,5"
