Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
2754,"H Uhlig","What are the effects of monetary policy on output? Results from an agnostic identification procedure",2005,"Journal of Monetary Economics","Elsevier","https://www.sciencedirect.com/science/article/pii/S0304393205000073","https://scholar.google.com/scholar?cites=18124578989861024955&as_sdt=2005&sciodt=0,5&hl=en",1,"2023-02-07 15:04:26","HTML","","","",,,,,2754,153.00,2754,1,18,"… to estimate the effects of monetary policy shocks by a … monetary policy shocks have no clear effect on real GDP, even though prices move only gradually in response to a monetary policy …","https://www.sciencedirect.com/science/article/pii/S0304393205000073","https://scholar.google.com/scholar?q=related:u7QsKpBwh_sJ:scholar.google.com/&scioq=effect+of+%22monetary+policy%22+on+output&hl=en&as_sdt=0,5"
240,"MS Rafiq, SK Mallick","The effect of monetary policy on output in EMU3: A sign restriction approach",2008,"Journal of Macroeconomics","Elsevier","https://www.sciencedirect.com/science/article/pii/S0164070407001681","https://scholar.google.com/scholar?cites=6068667519409692490&as_sdt=2005&sciodt=0,5&hl=en",2,"2023-02-07 15:04:26","","","","",,,,,240,16.00,120,2,15,"… examines the effects of monetary policy shocks on output in the … The results show that monetary policy innovations are at … interest rates concludes with a fall in output, showing a lack of …","https://scholar.google.com/scholar?output=instlink&q=info:Sp9dqvQ8OFQJ:scholar.google.com/&hl=en&as_sdt=0,5&scillfp=17050601186216869181&oi=lle","https://scholar.google.com/scholar?q=related:Sp9dqvQ8OFQJ:scholar.google.com/&scioq=effect+of+%22monetary+policy%22+on+output&hl=en&as_sdt=0,5"
127,"MA Starr","Does money matter in the CIS? Effects of monetary policy on output and prices",2005,"Journal of Comparative Economics","Elsevier","https://www.sciencedirect.com/science/article/pii/S0147596705000466","https://scholar.google.com/scholar?cites=771802413701530404&as_sdt=2005&sciodt=0,5&hl=en",3,"2023-02-07 15:04:26","HTML","","","",,,,,127,7.06,127,1,18,"… monetary-policy variables affect output in the short run is open. In this paper, we examine the real effects of monetary policy … in these countries, although the effects are greater in Russia. …","https://www.sciencedirect.com/science/article/pii/S0147596705000466","https://scholar.google.com/scholar?q=related:JAN4wTT-tQoJ:scholar.google.com/&scioq=effect+of+%22monetary+policy%22+on+output&hl=en&as_sdt=0,5"
10,"X Zhang, F Pan","Asymmetric effects of monetary policy and output shocks on the real estate market in China",2021,"Economic Modelling","Elsevier","https://www.sciencedirect.com/science/article/pii/S0264999321001899","https://scholar.google.com/scholar?cites=12440674129872520265&as_sdt=2005&sciodt=0,5&hl=en",4,"2023-02-07 15:04:26","","","","",,,,,10,5.00,5,2,2,"… monetary policy is framed to keep the real estate market stable, especially during periods of output volatility. Thus, this study investigates the effects of monetary policy and output on …","","https://scholar.google.com/scholar?q=related:SYRxJTUnpqwJ:scholar.google.com/&scioq=effect+of+%22monetary+policy%22+on+output&hl=en&as_sdt=0,5"
274,"G Karras","Are the output effects of monetary policy asymmetric? Evidence from a sample of European countries",1996,"Oxford Bulletin of Economics and Statistics","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1468-0084.1996.mp58002004.x","https://scholar.google.com/scholar?cites=14318241912612585421&as_sdt=2005&sciodt=0,5&hl=en",5,"2023-02-07 15:04:26","","10.1111/j.1468-0084.1996.mp58002004.x","","",,,,,274,10.15,274,1,27,"… reduce output, but lower rates have no statistically significant effect. … of the monetary policy asymmetries to the effects of money-… The effects of both on the two variables were found to be …","https://scholar.google.com/scholar?output=instlink&q=info:zf9hgSidtMYJ:scholar.google.com/&hl=en&as_sdt=0,5&scillfp=6590553311140143630&oi=lle","https://scholar.google.com/scholar?q=related:zf9hgSidtMYJ:scholar.google.com/&scioq=effect+of+%22monetary+policy%22+on+output&hl=en&as_sdt=0,5"
30,"N Zakir, WS Malik","Are the effects of monetary policy on output asymmetric in Pakistan?",2013,"Economic Modelling","Elsevier","https://www.sciencedirect.com/science/article/pii/S0264999313000400","https://scholar.google.com/scholar?cites=9084142164089454267&as_sdt=2005&sciodt=0,5&hl=en",6,"2023-02-07 15:04:26","","","","",,,,,30,3.00,15,2,10,"… in the effects of monetary policy actions on output. Our results indicate that monetary policy actions seem ineffective in periods of high growth while having strong effects on output …","","https://scholar.google.com/scholar?q=related:uz6zGytbEX4J:scholar.google.com/&scioq=effect+of+%22monetary+policy%22+on+output&hl=en&as_sdt=0,5"
334,"JH Cochrane","What do the VARs mean? Measuring the output effects of monetary policy",1998,"Journal of monetary economics","Elsevier","https://www.sciencedirect.com/science/article/pii/S0304393297000755","https://scholar.google.com/scholar?cites=12135785221905250018&as_sdt=2005&sciodt=0,5&hl=en",7,"2023-02-07 15:04:26","HTML","","","",,,,,334,13.36,334,1,25,"… I focus on the output response to monetary policy, so I do not question variable selection, specification, shock variable choice, orthogonalization, and sampling error questions that (…","https://www.sciencedirect.com/science/article/pii/S0304393297000755","https://scholar.google.com/scholar?q=related:4vYYdlz4aqgJ:scholar.google.com/&scioq=effect+of+%22monetary+policy%22+on+output&hl=en&as_sdt=0,5"
334,"DP Morgan","Asymmetric effects of monetary policy",1993,"Economic Review-Federal Reserve Bank of …","search.proquest.com","https://search.proquest.com/openview/d582c31d08a13491a3446270a37003aa/1?pq-origsite=gscholar&cbl=47211","https://scholar.google.com/scholar?cites=189436493353571529&as_sdt=2005&sciodt=0,5&hl=en",8,"2023-02-07 15:04:26","","","","",,,,,334,11.13,334,1,30,"… Monetary policy will have asymmetric effects on real output if prices are less ﬂexible downward than upward. In that case, tight policy will cause output … with little change in output. Recent …","https://scholar.google.com/scholar?output=instlink&q=info:ydTVrXwDoQIJ:scholar.google.com/&hl=en&as_sdt=0,5&scillfp=18257416321033119918&oi=lle","https://scholar.google.com/scholar?q=related:ydTVrXwDoQIJ:scholar.google.com/&scioq=effect+of+%22monetary+policy%22+on+output&hl=en&as_sdt=0,5"
86,"A Florio","The asymmetric effects of monetary policy",2004,"Journal of Economic Surveys","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.0950-0804.2004.0226.x","https://scholar.google.com/scholar?cites=10387455578980348755&as_sdt=2005&sciodt=0,5&hl=en",9,"2023-02-07 15:04:26","","10.1111/j.0950-0804.2004.0226.x","","",,,,,86,4.53,86,1,19,"… The paper deals with the asymmetric effects on output of tight and easy monetary policy: the output reduction following a negative monetary policy shock appears bigger than the …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.0950-0804.2004.0226.x","https://scholar.google.com/scholar?q=related:U_NFYdCnJ5AJ:scholar.google.com/&scioq=effect+of+%22monetary+policy%22+on+output&hl=en&as_sdt=0,5"
181,"MO Ravn, M Sola","Asymmetric effects of monetary policy in the United States",2004,"Review-Federal Reserve Bank of Saint …","files.stlouisfed.org","https://files.stlouisfed.org/research/publications/review/04/09/Ravn.pdf","https://scholar.google.com/scholar?cites=3197410820495728794&as_sdt=2005&sciodt=0,5&hl=en",10,"2023-02-07 15:04:26","PDF","","","",,,,,181,9.53,91,2,19,"… This paper tests for the presence of asymmet- ric effects of monetary policy on aggregate … : (i) whether negative and positive monetary policy shocks have different effects on output; (ii) …","https://files.stlouisfed.org/research/publications/review/04/09/Ravn.pdf","https://scholar.google.com/scholar?q=related:mmCjXDN8XywJ:scholar.google.com/&scioq=effect+of+%22monetary+policy%22+on+output&hl=en&as_sdt=0,5"
132,"F Milani, J Treadwell","The effects of monetary policy “news” and “surprises”",2012,"Journal of money, credit and banking","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1538-4616.2012.00549.x","https://scholar.google.com/scholar?cites=1346095135619065911&as_sdt=2005&sciodt=0,5&hl=en",11,"2023-02-07 15:04:26","","10.1111/j.1538-4616.2012.00549.x","","",,,,,132,12.00,66,2,11,"… , with the anticipated or news shock which has a much larger and more persistent effect on the economy. Moreover, since the contribution of monetary policy news to output fluctuations …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1538-4616.2012.00549.x","https://scholar.google.com/scholar?q=related:N6h02GRKrhIJ:scholar.google.com/&scioq=effect+of+%22monetary+policy%22+on+output&hl=en&as_sdt=0,5"
115,"G Karras","Openness and the effects of monetary policy",1999,"Journal of International Money and Finance","Elsevier","https://www.sciencedirect.com/science/article/pii/S0261560698000370","https://scholar.google.com/scholar?cites=3572248198868278885&as_sdt=2005&sciodt=0,5&hl=en",12,"2023-02-07 15:04:26","HTML","","","",,,,,115,4.79,115,1,24,"… This paper has examined whether the effects of monetary policy on output and prices depend on the openness of the economy. Theoretically, using a simple open-economy model, …","https://www.sciencedirect.com/science/article/pii/S0261560698000370","https://scholar.google.com/scholar?q=related:ZZ4Sb88skzEJ:scholar.google.com/&scioq=effect+of+%22monetary+policy%22+on+output&hl=en&as_sdt=0,5"
88,"SJ Van den Heuvel","Banking conditions and the effects of monetary policy: Evidence from US states",2012,"The BE Journal of Macroeconomics","degruyter.com","https://www.degruyter.com/document/doi/10.1515/1935-1690.2411/html","https://scholar.google.com/scholar?cites=12770595827871772661&as_sdt=2005&sciodt=0,5&hl=en",13,"2023-02-07 15:04:26","","10.1515/1935-1690.2411","","",,,,,88,8.00,88,1,11,"… Using data from US states, this paper examines empirically how the effects of monetary policy on output depend on banking conditions. I find that when a state’s banking sector starts …","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=3dd60d521d640b9dfd6d07c6e69010d019273b84","https://scholar.google.com/scholar?q=related:9e9hcj5FOrEJ:scholar.google.com/&scioq=effect+of+%22monetary+policy%22+on+output&hl=en&as_sdt=0,5"
422,"R Ramaswamy, T Sloek","The real effects of monetary policy in the European Union: What are the differences?",1998,"Staff Papers","Springer","https://link.springer.com/article/10.2307/3867394","https://scholar.google.com/scholar?cites=11455598692928466678&as_sdt=2005&sciodt=0,5&hl=en",14,"2023-02-07 15:04:26","","10.2307/3867394","","",,,,,422,16.88,211,2,25,"… To draw valid empirical inferences about the response of output to changes in monetary policy, we need an appropriate way of identifying the monetary shocks inherent in the data. As …","https://www.jstor.org/stable/pdf/3867394.pdf","https://scholar.google.com/scholar?q=related:9i5uHVF2-p4J:scholar.google.com/&scioq=effect+of+%22monetary+policy%22+on+output&hl=en&as_sdt=0,5"
139,"M Ehrmann, L Gambacorta, ...","The effects of monetary policy in the euro area",2003,"Oxford Review of …","academic.oup.com","https://academic.oup.com/oxrep/article-abstract/19/1/58/399194","https://scholar.google.com/scholar?cites=3670442866178629183&as_sdt=2005&sciodt=0,5&hl=en",15,"2023-02-07 15:04:26","","","","",,,,,139,6.95,46,3,20,"… Although there seem to be rather large cross-country differences in the output effects of a monetary-policy shock, the authors find that the size of the confidence bands that surround the …","https://academic.oup.com/oxrep/article-pdf/19/1/58/1118449/190058.pdf","https://scholar.google.com/scholar?q=related:P57xBlcI8DIJ:scholar.google.com/&scioq=effect+of+%22monetary+policy%22+on+output&hl=en&as_sdt=0,5"
