Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
20,"DB Papadimitriou, LR Wray","Targeting inflation: The effects of monetary policy on the CPI and its housing component",1996,"","econstor.eu","https://www.econstor.eu/handle/10419/54245","https://scholar.google.com/scholar?cites=13406683774865252101&as_sdt=2005&sciodt=0,5&hl=en",1,"2023-02-09 13:16:09","BOOK","","","",,,,,20,0.74,10,2,27,"… monetary policy on import ant components of the CPI is tenuous at best, calling into question the use of the CPI … in the formation of monetary policy should substantially reflect domestic …","https://www.econstor.eu/bitstream/10419/54245/1/677775318.pdf","https://scholar.google.com/scholar?q=related:BR_WkNwbDroJ:scholar.google.com/&scioq=effect+of+%22monetary+policy%22+on+the+cpi&hl=en&as_sdt=0,5"
222,"XE Xu, T Chen","The effect of monetary policy on real estate price growth in China",2012,"Pacific-Basin Finance Journal","Elsevier","https://www.sciencedirect.com/science/article/pii/S0927538X1100045X","https://scholar.google.com/scholar?cites=13233754881638976814&as_sdt=2005&sciodt=0,5&hl=en",2,"2023-02-09 13:16:09","","","","",,,,,222,20.18,111,2,11,"… is on the impact of monetary policy on real estate price growth… the CPI growth as a control variable in our empirical model. … of China's monetary policy tools and their expected effects on …","","https://scholar.google.com/scholar?q=related:Ls2uDPO9p7cJ:scholar.google.com/&scioq=effect+of+%22monetary+policy%22+on+the+cpi&hl=en&as_sdt=0,5"
103,"L Sun, JL Ford, DG Dickinson","Bank loans and the effects of monetary policy in China: VAR/VECM approach",2010,"China Economic Review","Elsevier","https://www.sciencedirect.com/science/article/pii/S1043951X09001527","https://scholar.google.com/scholar?cites=15820632689267865096&as_sdt=2005&sciodt=0,5&hl=en",3,"2023-02-09 13:16:09","","","","",,,,,103,7.92,34,3,13,"… All variables are taken log excluding the indicators of monetary policy and CPI inflation. We conduct a seasonal analysis on all variables by X12 approach and find that the industrial …","","https://scholar.google.com/scholar?q=related:CHa-DZwtjtsJ:scholar.google.com/&scioq=effect+of+%22monetary+policy%22+on+the+cpi&hl=en&as_sdt=0,5"
14,"AT Okwu, RT Obiakor, OB Falaiye, ...","Empirical Analysis of the effects of monetary policy innovations on stabilization of commodity prices in Nigeria",2011,"European Journal of …","academia.edu","https://www.academia.edu/download/11050798/OKWU%20ET%20AL%202011.pdf","https://scholar.google.com/scholar?cites=16385714277150837403&as_sdt=2005&sciodt=0,5&hl=en",4,"2023-02-09 13:16:09","PDF","","","",,,,,14,1.17,4,4,12,"… Variables used for analysis were consumer price index (CPI), broad money aggregates (… , monetary policy rate had more immediate effect than broad money on consumer price index, …","https://www.academia.edu/download/11050798/OKWU%20ET%20AL%202011.pdf","https://scholar.google.com/scholar?q=related:m0qf4FHAZeMJ:scholar.google.com/&scioq=effect+of+%22monetary+policy%22+on+the+cpi&hl=en&as_sdt=0,5"
5,"MN Jamil","Monetary policy performance under control of exchange rate and consumer price index",2022,"Journal of Environmental Science and Economics","jescae.com","https://www.jescae.com/index.php/jescae/article/view/7","https://scholar.google.com/scholar?cites=5324568591036927089&as_sdt=2005&sciodt=0,5&hl=en",5,"2023-02-09 13:16:09","","","","",,,,,5,5.00,5,1,1,"… We find that monetary policy control; the price level does not affect production … Monetary policy is the only thing that can change the trend of exchange rate and Consumer Price Index. …","https://www.jescae.com/index.php/jescae/article/download/7/51","https://scholar.google.com/scholar?q=related:cUz1Ouyq5EkJ:scholar.google.com/&scioq=effect+of+%22monetary+policy%22+on+the+cpi&hl=en&as_sdt=0,5"
1199,"G Bekaert, M Hoerova, ML Duca","Risk, uncertainty and monetary policy",2013,"Journal of Monetary Economics","Elsevier","https://www.sciencedirect.com/science/article/pii/S0304393213000871","https://scholar.google.com/scholar?cites=9191434072892642748&as_sdt=2005&sciodt=0,5&hl=en",6,"2023-02-09 13:16:09","","","","",,,,,1199,119.90,400,3,10,"… shocks, a Cholesky ordering is used with CPI and industrial production ordered first, followed by the Fed funds rate and PPI, and risk aversion and uncertainty ordered last. …","https://www.econstor.eu/bitstream/10419/144441/1/wp229en.pdf","https://scholar.google.com/scholar?q=related:vBUwS5eIjn8J:scholar.google.com/&scioq=effect+of+%22monetary+policy%22+on+the+cpi&hl=en&as_sdt=0,5"
32,"M Nessén, U Söderström","Core inflation and monetary policy",2001,"International Finance","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/1468-2362.00080","https://scholar.google.com/scholar?cites=17041442379574492901&as_sdt=2005&sciodt=0,5&hl=en",7,"2023-02-09 13:16:09","","10.1111/1468-2362.00080","","",,,,,32,1.45,16,2,22,"… monetary policy under inflation targeting (Svensson 1997) to include several components of CPI … in the CPI tends to push optimal monetary policy in an expansionary direction. The net …","https://www.econstor.eu/bitstream/10419/82460/1/wp_110.pdf","https://scholar.google.com/scholar?q=related:5T7TBo5df-wJ:scholar.google.com/&scioq=effect+of+%22monetary+policy%22+on+the+cpi&hl=en&as_sdt=0,5"
161,"CA Chuku","Measuring the effects of monetary policy innovations in Nigeria: A structural vector autoregressive (SVAR) approach",2009,"African Journal of Accounting, Economics, Finance and …","papers.ssrn.com","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1534227","https://scholar.google.com/scholar?cites=1241747680572714008&as_sdt=2005&sciodt=0,5&hl=en",8,"2023-02-09 13:16:09","","","","",,,,,161,11.50,161,1,14,"… Following our results, we feed RGDP, CPI, REER, and M2 into the model at their first-differences, while MRR enters at its level as stated in the Remarks column of Table 1. …","https://www.researchgate.net/profile/Chuku-Chuku/publication/228272597_Measuring_the_Effects_of_Monetary_Policy_Innovations_in_Nigeria_A_Structural_Vector_Autoregressive_SVAR_Approach/links/0deec51a939e56eeb7000000/Measuring-the-Effects-of-Monetary-Policy-Innovations-in-Nigeria-A-Structural-Vector-Autoregressive-SVAR-Approach.pdf","https://scholar.google.com/scholar?q=related:GKwzue-SOxEJ:scholar.google.com/&scioq=effect+of+%22monetary+policy%22+on+the+cpi&hl=en&as_sdt=0,5"
21,"WS Maliszewski","VAR-ing monetary policy in Poland",1999,"CASE Network Studies and Analyses","papers.ssrn.com","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1446726","https://scholar.google.com/scholar?cites=9088474620438825108&as_sdt=2005&sciodt=0,5&hl=en",9,"2023-02-09 13:16:09","","","","",,,,,21,0.88,21,1,24,"… an attempt to estimate the effects of monetary policy shocks on the … , CPI, money market rate and exchange rate. Industrial production and CPI are likely to be affected by monetary policy …","","https://scholar.google.com/scholar?q=related:lMhotYO_IH4J:scholar.google.com/&scioq=effect+of+%22monetary+policy%22+on+the+cpi&hl=en&as_sdt=0,5"
28,"ZC Abaenewe, MO Ndugbu","Analysis of the Effect of Monetary Policy Development on Equity Prices in Nigeria.",2012,"West African journal of industrial and …","ajol.info","https://www.ajol.info/index.php/wajiar/article/view/86644","https://scholar.google.com/scholar?cites=12522296771059881150&as_sdt=2005&sciodt=0,5&hl=en",10,"2023-02-09 13:16:09","","","","",,,,,28,2.55,14,2,11,"… consumer price index that has insignificant positive relationship with equity prices. The study has revealed that monetary policy … significantly absorbed the monetary policy impulses and …","https://www.ajol.info/index.php/wajiar/article/view/86644/76453","https://scholar.google.com/scholar?q=related:vpQLO5EiyK0J:scholar.google.com/&scioq=effect+of+%22monetary+policy%22+on+the+cpi&hl=en&as_sdt=0,5"
35,"DA Dias, JB Duarte","Monetary policy, housing rents, and inflation dynamics",2019,"Journal of Applied Econometrics","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/jae.2679","https://scholar.google.com/scholar?cites=7786795007338216173&as_sdt=2005&sciodt=0,5&hl=en",11,"2023-02-09 13:16:09","","10.1002/jae.2679","","",,,,,35,8.75,18,2,4,"… the CPI … monetary policy shocks, with resulting larger real effects and nominal price volatility. Given the results of this paper, looking at the total CPI or PCE reactions to monetary policy …","https://run.unl.pt/bitstream/10362/85720/1/MP_RENTS_ID.pdf","https://scholar.google.com/scholar?q=related:7fotj81AEGwJ:scholar.google.com/&scioq=effect+of+%22monetary+policy%22+on+the+cpi&hl=en&as_sdt=0,5"
292,"FO Bilbiie, F Ghironi, MJ Melitz, ...","Monetary policy and business cycles with endogenous entry and product variety [with comments and discussion]",2007,"NBER …","journals.uchicago.edu","https://www.journals.uchicago.edu/doi/abs/10.1086/ma.22.25554968","https://scholar.google.com/scholar?cites=16636860321918150629&as_sdt=2005&sciodt=0,5&hl=en",12,"2023-02-09 13:16:09","","10.1086/ma.22.25554968","","",,,,,292,18.25,73,4,16,"… This is no longer true when monetary policy responds to welfare-consistent CPI inflation: … this link and implies an expansionary effect of monetary policy expansions on firm entry.34 …","https://www.journals.uchicago.edu/doi/pdf/10.1086/ma.22.25554968","https://scholar.google.com/scholar?q=related:5ee4IVEA4uYJ:scholar.google.com/&scioq=effect+of+%22monetary+policy%22+on+the+cpi&hl=en&as_sdt=0,5"
231,"M Forni, L Gambetti","The dynamic effects of monetary policy: A structural factor model approach",2010,"Journal of Monetary Economics","Elsevier","https://www.sciencedirect.com/science/article/pii/S0304393209001597","https://scholar.google.com/scholar?cites=10261280987828344763&as_sdt=2005&sciodt=0,5&hl=en",13,"2023-02-09 13:16:09","","","","",,,,,231,17.77,116,2,13,"… the impulse response functions to a contractionary monetary policy shock of a simple VAR including industrial production, a consumer price index (CPI), the federal funds rate and the …","https://iris.unimore.it/bitstream/11380/1292179/1/RECent-wp26.pdf","https://scholar.google.com/scholar?q=related:u1f6G7FkZ44J:scholar.google.com/&scioq=effect+of+%22monetary+policy%22+on+the+cpi&hl=en&as_sdt=0,5"
615,"MB Devereux, PR Lane, J Xu","Exchange rates and monetary policy in emerging market economies",2006,"The Economic Journal","academic.oup.com","https://academic.oup.com/ej/article-abstract/116/511/478/5086526","https://scholar.google.com/scholar?cites=586272085860254831&as_sdt=2005&sciodt=0,5&hl=en",14,"2023-02-09 13:16:09","","","","",,,,,615,36.18,205,3,17,"… of monetary policy, we simply focus on whether and how this difference affects the choice of monetary policy. We … We also analyse a CPI targeting rule (CPI rule), whereby the monetary …","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=c2401e0f6550b7ad2369843b25976cd4f979548b","https://scholar.google.com/scholar?q=related:b4RtG1vbIggJ:scholar.google.com/&scioq=effect+of+%22monetary+policy%22+on+the+cpi&hl=en&as_sdt=0,5"
93,"S Kim","Monetary policy, foreign exchange policy, and delayed overshooting",2005,"Journal of Money, Credit and Banking","JSTOR","https://www.jstor.org/stable/3839062","https://scholar.google.com/scholar?cites=15280453999557678170&as_sdt=2005&sciodt=0,5&hl=en",15,"2023-02-09 13:16:09","","","","",,,,,93,5.17,93,1,18,"… , CPI is the Canadian consumer price index, IP is the Canadian industrial production index, E(C$/$) is the exchange rate of Canadian Dollar against the US Dollar (the Canadian Dollar …","","https://scholar.google.com/scholar?q=related:WhRVCvQTD9QJ:scholar.google.com/&scioq=effect+of+%22monetary+policy%22+on+the+cpi&hl=en&as_sdt=0,5"
2,"RO Iyiola, AA Adetunji","The effect of monetary policy on consumer price index",2014,"IJISET-International Journal of Innovative Science …","ijiset.com","https://www.ijiset.com/v1s6/IJISET_V1_I6_22.pdf","https://scholar.google.com/scholar?cites=8848365764803142386&as_sdt=2005&sciodt=0,5&hl=en",16,"2023-02-09 13:16:09","PDF","","","",,,,,2,0.22,1,2,9,"… monetary policy on the Nigerian economy by studying the relationship that exists between consumer price index … Also, we intend to forecast inflation using consumer price index (CPI) as …","https://www.ijiset.com/v1s6/IJISET_V1_I6_22.pdf","https://scholar.google.com/scholar?q=related:8qLRTci1y3oJ:scholar.google.com/&scioq=effect+of+%22monetary+policy%22+on+the+cpi&hl=en&as_sdt=0,5"
24,"TML Nguyen, E Papyrakis, PAG Van Bergeijk","Assessing the price and output effects of monetary policy in Vietnam: evidence from a VAR analysis",2019,"Applied Economics","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/00036846.2019.1602708","https://scholar.google.com/scholar?cites=15433974362308998707&as_sdt=2005&sciodt=0,5&hl=en",17,"2023-02-09 13:16:09","","10.1080/00036846.2019.1602708","","",,,,,24,6.00,8,3,4,"… Industrial production index (IPI) and consumer price index (CPI): to investigate the impact of monetary policy on the economy, we choose the IPI and CPI indices as the primary target …","https://www.tandfonline.com/doi/pdf/10.1080/00036846.2019.1602708?needAccess=true&role=button","https://scholar.google.com/scholar?q=related:M_bp6eh9MNYJ:scholar.google.com/&scioq=effect+of+%22monetary+policy%22+on+the+cpi&hl=en&as_sdt=0,5"
54,"S Kim, K Lim","Effects of monetary policy shocks on exchange rate in small open Economies",2018,"Journal of Macroeconomics","Elsevier","https://www.sciencedirect.com/science/article/pii/S0164070417303233","https://scholar.google.com/scholar?cites=11275924632317429511&as_sdt=2005&sciodt=0,5&hl=en",18,"2023-02-09 13:16:09","","","","",,,,,54,10.80,27,2,5,"… ), IP of the US, and CPI of the US. The FFR is included to control for the US monetary policy, which is likely to affect the exchange rate. Industrial production and the CPI of the US are …","","https://scholar.google.com/scholar?q=related:B4db77UhfJwJ:scholar.google.com/&scioq=effect+of+%22monetary+policy%22+on+the+cpi&hl=en&as_sdt=0,5"
333,"G Carlino, R DeFina","The differential regional effects of monetary policy: Evidence from the US states",1999,"Journal of Regional science","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/1467-9787.00137","https://scholar.google.com/scholar?cites=4235760647738146371&as_sdt=2005&sciodt=0,5&hl=en",19,"2023-02-09 13:16:09","","10.1111/1467-9787.00137","","",,,,,333,13.88,167,2,24,"… The Bureau of Labor Statistics’ “core” CPI (the official index less the effects of food and energy prices) captures underlying trends in the aggregate price level. The BEA index of leading …","","https://scholar.google.com/scholar?q=related:Q74C-t1xyDoJ:scholar.google.com/&scioq=effect+of+%22monetary+policy%22+on+the+cpi&hl=en&as_sdt=0,5"
4,"S Karim, M Lee, C Gan","Price effects of monetary policy: The case of a small open economy of New Zealand",2011,"Economic Analysis &Policy","papers.ssrn.com","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2078745","https://scholar.google.com/scholar?cites=2610525078637457957&as_sdt=2005&sciodt=0,5&hl=en",20,"2023-02-09 13:16:09","","","","",,,,,4,0.33,1,3,12,"… -17 percent variations in the NZ monetary policy interest rate after 4th quarter. We have also found that NZ CPI explains variations in the monetary policy interest rate more than the NZ …","https://www.researchgate.net/profile/Shahnawaz-Karim-3/publication/227410205_Price_Effects_of_Monetary_Policy_The_Case_of_a_Small_Open_Economy_of_New_Zealand/links/5c89fd2c45851564fadca33d/Price-Effects-of-Monetary-Policy-The-Case-of-a-Small-Open-Economy-of-New-Zealand.pdf","https://scholar.google.com/scholar?q=related:JTJvVbpyOiQJ:scholar.google.com/&scioq=effect+of+%22monetary+policy%22+on+the+cpi&hl=en&as_sdt=0,5"
101,"D Dickinson, L Jia","The real effects of monetary policy in China: An empirical analysis",2007,"China Economic Review","Elsevier","https://www.sciencedirect.com/science/article/pii/S1043951X06000204","https://scholar.google.com/scholar?cites=7993835331850652062&as_sdt=2005&sciodt=0,5&hl=en",21,"2023-02-09 13:16:09","","","","",,,,,101,6.31,51,2,16,"… We investigate what these changes imply about the effects of monetary policy and relate … to monetary policy operation will have an effect on the real effects of monetary policy but is not …","https://www.academia.edu/download/38515921/103930.pdf","https://scholar.google.com/scholar?q=related:nsnsk-HO724J:scholar.google.com/&scioq=effect+of+%22monetary+policy%22+on+the+cpi&hl=en&as_sdt=0,5"
90,"M Adolfson","Incomplete exchange rate pass-through and simple monetary policy rules",2007,"Journal of International Money and Finance","Elsevier","https://www.sciencedirect.com/science/article/pii/S0261560607000137","https://scholar.google.com/scholar?cites=3838932101332421674&as_sdt=2005&sciodt=0,5&hl=en",22,"2023-02-09 13:16:09","","","","",,,,,90,5.63,90,1,16,"… Comparing the social loss under the domestic inflation rules and the CPI inflation rules indicates that implementing monetary policy through a rule based on CPI inflation yields a better …","http://www.redeconomia.org.ve/redeconomia/admin_redeconomia/uploads/temas%20de%20investigacion/2007323832420a2980768.pdf","https://scholar.google.com/scholar?q=related:KkzDGGigRjUJ:scholar.google.com/&scioq=effect+of+%22monetary+policy%22+on+the+cpi&hl=en&as_sdt=0,5"
99,"SB Carpenter, WM Rodgers III","The disparate labor market impacts of monetary policy",2004,"Journal of Policy Analysis and …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/pam.20048","https://scholar.google.com/scholar?cites=10889612336132036362&as_sdt=2005&sciodt=0,5&hl=en",23,"2023-02-09 13:16:09","","10.1002/pam.20048","","",,,,,99,5.21,50,2,19,"… Employing two widely used approaches to identify the effects of monetary policy, this paper … of GDP and the CPI-U instead of the GDP deflator. Industrial production and the CPI-U are …","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=89e1e25112b47be6c545de117dde61c25b0432e8","https://scholar.google.com/scholar?q=related:CpfcXLmsH5cJ:scholar.google.com/&scioq=effect+of+%22monetary+policy%22+on+the+cpi&hl=en&as_sdt=0,5"
9,"J Kim, S Kim, D Park","Monetary policy shocks and exchange rates in Asian countries",2020,"Japan and the World Economy","Elsevier","https://www.sciencedirect.com/science/article/pii/S0922142520300426","https://scholar.google.com/scholar?cites=13229858992986357248&as_sdt=2005&sciodt=0,5&hl=en",24,"2023-02-09 13:16:09","","","","",,,,,9,3.00,3,3,3,"… investigate the effects of (domestic) monetary policy shocks on … What are the effects of monetary contraction (or expansion) of … Consumer price index is the target of monetary policy in …","","https://scholar.google.com/scholar?q=related:AH51yajmmbcJ:scholar.google.com/&scioq=effect+of+%22monetary+policy%22+on+the+cpi&hl=en&as_sdt=0,5"
704,"JA Frankel","The effect of monetary policy on real commodity prices",2006,"","nber.org","https://www.nber.org/papers/w12713","https://scholar.google.com/scholar?cites=7775650530397799638&as_sdt=2005&sciodt=0,5&hl=en",25,"2023-02-09 13:16:09","","","","",,,,,704,41.41,704,1,17,"… ) Monetary policy need focus only on the core CPI inflation rate and can safely ignore the volatile food and energy component, unless or until it starts to get passed through into the core …","https://www.nber.org/system/files/working_papers/w12713/w12713.pdf","https://scholar.google.com/scholar?q=related:1kTw0fWo6GsJ:scholar.google.com/&scioq=effect+of+%22monetary+policy%22+on+the+cpi&hl=en&as_sdt=0,5"
