Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
600,"DB Gordon, EM Leeper","The dynamic impacts of monetary policy: an exercise in tentative identification",1994,"Journal of Political Economy","journals.uchicago.edu","https://www.journals.uchicago.edu/doi/abs/10.1086/261969","https://scholar.google.com/scholar?cites=1370534693331096142&as_sdt=2005&sciodt=0,5&hl=en",1,"2023-02-09 13:30:33","","10.1086/261969","","",,,,,600,20.69,300,2,29,"… In the second column of figure 1, a negative funds rate innovation is associated with different anomalies if it is interpreted as a monetary policy expansion. The price level falls initially …","","https://scholar.google.com/scholar?q=related:TlJZzAoeBRMJ:scholar.google.com/&scioq=effect+of+%22monetary+policy%22+on+the+%22price+level%22&hl=en&as_sdt=0,5"
58,"C Baumeister, P Liu, H Mumtaz","Changes in the effects of monetary policy on disaggregate price dynamics",2013,"Journal of Economic Dynamics and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0165188912001935","https://scholar.google.com/scholar?cites=2919812468178977831&as_sdt=2005&sciodt=0,5&hl=en",2,"2023-02-09 13:30:33","","","","",,,,,58,5.80,19,3,10,"… After an unexpected monetary policy shock of 100 basis points, the price level fell by around 0.4% in the long run during the 1970s, while it currently stabilizes at a level of 1% below …","https://www.bankofcanada.ca/wp-content/uploads/2012/04/wp2012-13.pdf","https://scholar.google.com/scholar?q=related:J4SQUPhBhSgJ:scholar.google.com/&scioq=effect+of+%22monetary+policy%22+on+the+%22price+level%22&hl=en&as_sdt=0,5"
364,"L Ball, NG Mankiw, R Reis","Monetary policy for inattentive economies",2005,"Journal of monetary economics","Elsevier","https://www.sciencedirect.com/science/article/pii/S0304393205000425","https://scholar.google.com/scholar?cites=12128261373226209875&as_sdt=2005&sciodt=0,5&hl=en",3,"2023-02-09 13:30:33","","","","",,,,,364,20.22,121,3,18,"… We note here that it is not surprising that any deterministic path for the price level is as good as any other. In the model, the non-neutrality of monetary policy arises from surprises that it …","https://www.nber.org/system/files/working_papers/w9491/w9491.pdf","https://scholar.google.com/scholar?q=related:U1I97nU9UKgJ:scholar.google.com/&scioq=effect+of+%22monetary+policy%22+on+the+%22price+level%22&hl=en&as_sdt=0,5"
571,"MR Darby","The financial and tax effects of monetary policy on interest rates",1975,"Economic Inquiry","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1465-7295.1975.tb00993.x","https://scholar.google.com/scholar?cites=4831452585319714577&as_sdt=2005&sciodt=0,5&hl=en",4,"2023-02-09 13:30:33","","10.1111/j.1465-7295.1975.tb00993.x","","",,,,,571,11.90,571,1,48,"… with only trivial immediate effects on the growth rates of real income and the price level. As … the old monetary policy the growth rates of real income and the price level are increased. …","","https://scholar.google.com/scholar?q=related:Ec8fOYfEDEMJ:scholar.google.com/&scioq=effect+of+%22monetary+policy%22+on+the+%22price+level%22&hl=en&as_sdt=0,5"
102,"MM Borys, R Horváth, M Franta","The effects of monetary policy in the Czech Republic: an empirical study",2009,"Empirica","Springer","https://link.springer.com/article/10.1007/s10663-009-9102-y","https://scholar.google.com/scholar?cites=17883200738209243965&as_sdt=2005&sciodt=0,5&hl=en",5,"2023-02-09 13:30:33","","10.1007/s10663-009-9102-y","","",,,,,102,7.29,34,3,14,"… of monetary policy shocks. Subject to various sensitivity tests, we find that a … monetary policy shock has a negative effect on the degree of economic activity and the price level, both with …","https://deepblue.lib.umich.edu/bitstream/handle/2027.42/64350/wp922.pdf?sequence=1","https://scholar.google.com/scholar?q=related:PSP3d1LkLfgJ:scholar.google.com/&scioq=effect+of+%22monetary+policy%22+on+the+%22price+level%22&hl=en&as_sdt=0,5"
192,"B Hayo, B Uhlenbrock","Industry effects of monetary policy in Germany",2000,"","Springer","https://link.springer.com/chapter/10.1007/978-1-4757-6390-4_5","https://scholar.google.com/scholar?cites=2449768764574281612&as_sdt=2005&sciodt=0,5&hl=en",6,"2023-02-09 13:30:33","BOOK","10.1007/978-1-4757-6390-4_5","","",,,,,192,8.35,96,2,23,"… Finally, we find that the price level exhibits a slight rise in the first months after the monetary policy shock, which however is not significant. From month 8 onwards, the impulse response …","https://www.econstor.eu/bitstream/10419/39583/1/303028025.pdf","https://scholar.google.com/scholar?q=related:jC9MQrZT_yEJ:scholar.google.com/&scioq=effect+of+%22monetary+policy%22+on+the+%22price+level%22&hl=en&as_sdt=0,5"
80,"P Alvarez-Plata, A García-Herrero","To dollarize or de-dollarize: Consequences for Monetary Policy",2008,"","papers.ssrn.com","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1428828","https://scholar.google.com/scholar?cites=14749967884165060661&as_sdt=2005&sciodt=0,5&hl=en",7,"2023-02-09 13:30:33","","","","",,,,,80,5.33,40,2,15,"… aim of this paper is to review the experience of various dual-currency economies and analyze the main challenges faced by policymakers in formulating and conducting monetary policy…","https://www.econstor.eu/bitstream/10419/27367/1/588128163.PDF","https://scholar.google.com/scholar?q=related:NRgUWKRpsswJ:scholar.google.com/&scioq=effect+of+%22monetary+policy%22+on+the+%22price+level%22&hl=en&as_sdt=0,5"
11481,"M Friedman","The role of monetary policy",1995,"","Springer","https://link.springer.com/chapter/10.1007/978-1-349-24002-9_11","https://scholar.google.com/scholar?cites=4306440690340088231&as_sdt=2005&sciodt=0,5&hl=en",8,"2023-02-09 13:30:33","BOOK","10.1007/978-1-349-24002-9_11","","",,,,,11481,410.04,11481,1,28,"… monetary action will have on the price level and, equally important, just when it will have … effect. Attempting to control directly the price level is therefore likely to make monetary policy …","https://cooperative-individualism.org/friedman-milton_the-role-of-monetary-policy-1968-mar.pdf","https://scholar.google.com/scholar?q=related:p0kCyv2MwzsJ:scholar.google.com/&scioq=effect+of+%22monetary+policy%22+on+the+%22price+level%22&hl=en&as_sdt=0,5"
72,"NM Nwoko, JC Ihemeje, E Anumadu","The impact of monetary policy on the economic growth of Nigeria",2016,"African Research Review","ajol.info","https://www.ajol.info/index.php/afrrev/article/view/137035","https://scholar.google.com/scholar?cites=2957671602379034625&as_sdt=2005&sciodt=0,5&hl=en",9,"2023-02-09 13:30:33","","","","",,,,,72,10.29,24,3,7,"… In Nigeria, government has always relied on monetary policy as a way of achieving certain … general price level. The reason for choosing monetary policy is the fact that monetary policy …","https://www.ajol.info/index.php/afrrev/article/view/137035/127148","https://scholar.google.com/scholar?q=related:ARAQ5qbCCykJ:scholar.google.com/&scioq=effect+of+%22monetary+policy%22+on+the+%22price+level%22&hl=en&as_sdt=0,5"
167,"R Miyao","The effects of monetary policy in Japan",2002,"Journal of Money, Credit and Banking","JSTOR","https://www.jstor.org/stable/3270693","https://scholar.google.com/scholar?cites=457650481965456718&as_sdt=2005&sciodt=0,5&hl=en",10,"2023-02-09 13:30:33","","","","",,,,,167,7.95,167,1,21,"… Third, we perform several exercises incorporating the price level and other alternative series into the system. It is potentially important to include prices in the model since price stability …","","https://scholar.google.com/scholar?q=related:Tl3WSLDmWQYJ:scholar.google.com/&scioq=effect+of+%22monetary+policy%22+on+the+%22price+level%22&hl=en&as_sdt=0,5"
