"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"GVGK8KZP","journalArticle","2010","Forni, Mario; Gambetti, Luca","The dynamic effects of monetary policy: A structural factor model approach","Journal of Monetary Economics","","0304-3932","10.1016/j.jmoneco.2009.11.009","https://www.sciencedirect.com/science/article/pii/S0304393209001597","A structural factor model for 112 US monthly macroeconomic series is used to study the effects of monetary policy. Monetary policy shocks are identified using a standard recursive scheme, in which the impact effects on both industrial production and prices are zero. The main findings are the following. First, the maximal effect on bilateral real exchange rates is observed on impact, so that the “delayed overshooting” puzzle disappears. Second, after a contractionary shock prices fall at all horizons, so that the price puzzle is not there. Finally, monetary policy has a sizable effect on both real and nominal variables.","2010-03-01","2023-03-28 10:02:56","2023-03-28 10:02:56","2023-03-16 09:22:09","203-216","","2","57","","Journal of Monetary Economics","The dynamic effects of monetary policy","","","","","","","en","","","","","ScienceDirect","","","","; ","https://www.sciencedirect.com/science/article/pii/S0304393209001597/pdfft?md5=3f296a6a4c1dbb5926d0ba2fc0ea77f9&pid=1-s2.0-S0304393209001597-main.pdf&isDTMRedir=Y; https://www.sciencedirect.com/science/article/pii/S0304393209001597?casa_token=7SyelLeiJO8AAAAA:q2gCrw5GaUFd3jFQydykl9YSkdhx78QJc1Ugd0iZflMV5q4IoObd_4ixmYgrsk1hZ4eUr1i0zlM","Delayed overshooting puzzle; Monetary policy; Price puzzle; Structural factor model; Structural VAR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9L3D7BGW","journalArticle","1997","Bernanke, Ben S.; Gertler, Mark; Watson, Mark; Sims, Christopher A.; Friedman, Benjamin M.","Systematic Monetary Policy and the Effects of Oil Price Shocks","Brookings Papers on Economic Activity","","0007-2303","10.2307/2534702","https://www.jstor.org/stable/2534702","NO ABSTRACT","1997","2023-03-28 10:02:56","2023-03-28 10:02:56","2023-03-16 09:25:57","91-157","","1","1997","","","","","","","","","","","","","","","JSTOR","","","","","https://www.jstor.org/stable/pdfplus/10.2307/2534702.pdf?acceptTC=true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MBFJDGHM","journalArticle","2009","Borys, Magdalena Morgese; Horváth, Roman; Franta, Michal","The effects of monetary policy in the Czech Republic: an empirical study","Empirica","","1573-6911","10.1007/s10663-009-9102-y","https://doi.org/10.1007/s10663-009-9102-y","In this paper, we examine the effects of Czech monetary policy on the economy within the vector auto regression (VAR), structural VAR, Bayesian VAR with sign restrictions, and factor-augmented VAR, frameworks. We document a well-functioning transmission mechanism similar to the euro area countries, especially in terms of persistence of monetary policy shocks. Subject to various sensitivity tests, we find that a contractionary monetary policy shock has a negative effect on the degree of economic activity and the price level, both with a peak response after one year or so. Regarding prices at the sectoral level, tradables adjust faster than non-tradables, which is in line with microeconomic evidence on price stickiness. There is no price puzzle, as our data come from a single monetary policy regime. There is a rationale in using the real-time output gap instead of current GDP growth, as using the former results in much more precise estimates. The results indicate a rather persistent appreciation of the domestic currency after a monetary tightening, with a gradual depreciation afterwards.","2009-11-01","2023-03-28 10:02:56","2023-03-28 10:02:56","2023-03-16 09:27:31","419-443","","4","36","","Empirica","The effects of monetary policy in the Czech Republic","","","","","","","en","","","","","Springer Link","","","","","https://link.springer.com/content/pdf/10.1007%2Fs10663-009-9102-y.pdf","E31; E52; E58; Monetary policy transmission; Real-time data; Sectoral prices; VAR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DMPTCDB2","journalArticle","2000","Shioji, Etsuro","Identifying Monetary Policy Shocks in Japan","Journal of the Japanese and International Economies","","0889-1583","10.1006/jjie.1999.0441","https://www.sciencedirect.com/science/article/pii/S0889158399904410","It is sometimes argued that central banks influence the private economy in the short run by controlling a specific component of high-powered money, not its total amount. Using a structural VAR approach, this paper evaluates this claim empirically, in the context of the Japanese economy. I estimate a model based on the standard view that the central bank controls the total amount of high-powered money, and another model based on the alternative view that it controls only a specific component. It is shown that the former yields much more sensible estimates than the latter. J. Japan. Int. Econ., March 2000, 14(1), pp. 22–42. Department of Economics, Yokohama National University, 79-3 Tokiwadai, Hodogayaku, Yokohama 240-8501, Japan. Copyright 2000 Academic Press. Journal of Economic Literature Classification Numbers: E52, E58, C32.","2000-03-01","2023-03-28 10:02:56","2023-03-28 10:02:56","2023-03-16 09:27:49","22-42","","1","14","","Journal of the Japanese and International Economies","","","","","","","","en","","","","","ScienceDirect","","","","; ","https://www.sciencedirect.com/science/article/pii/S0889158399904410/pdf?md5=7b1285b46f19a29d5357b2ea5251b5a2&pid=1-s2.0-S0889158399904410-main.pdf&isDTMRedir=Y; https://www.sciencedirect.com/science/article/pii/S0889158399904410","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XJBQNBXS","journalArticle","2010","Lange, Ronald H.","Regime-switching monetary policy in Canada","Journal of Macroeconomics","","0164-0704","10.1016/j.jmacro.2010.01.002","https://www.sciencedirect.com/science/article/pii/S0164070410000042","This study captures regime-switching, monetary policy responses to financial market disturbances in Canada. Monetary policy is identified within a nonlinear, structural VAR framework with a regime-switching policy block that allows for contemporaneous policy reactions in a small open economy. The key finding is that monetary policy in Canada has undergone important changes in monetary policy regimes since the early 1970s that correspond to changes in operating procedures and medium-term inflation targets. Overall, the Bank of Canada is found to use a “hybrid” operating procedure in different monetary policy regimes, where it sets a monetary policy rate, while “leaning against the wind” to smooth exchange-rate fluctuations and to offset unexpected increases in long-term yields in order to maintain monetary conditions. Although the magnitude of the contemporaneous monetary policy responses are regime-dependent, the transmission of the responses through financial markets are regime independent. The study also constructs regime-switching measures of the overall level and relative volatility of monetary conditions that captures both the endogenous and exogenous components of the monetary policy response function.","2010-09-01","2023-03-28 10:02:56","2023-03-28 10:02:56","2023-03-16 09:28:23","782-796","","3","32","","Journal of Macroeconomics","","","","","","","","en","","","","","ScienceDirect","","","","; ","https://www.sciencedirect.com/science/article/pii/S0164070410000042/pdfft?md5=ad439dd1a2d7e4827e991b0a246dcef2&pid=1-s2.0-S0164070410000042-main.pdf&isDTMRedir=Y; https://www.sciencedirect.com/science/article/pii/S0164070410000042?casa_token=d48sPNISAIgAAAAA:PqF4Qbjrup5CRPlI7ybDHSzAd33jZ8hqiGFNRHWyhaMsSL3KSYDZQ4y4E_Njf8TK8hzJ46rAw_8","Monetary policy; Regime-switching; Small open economy; Structural VAR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T8USXI56","journalArticle","2009","Peersman, Gert; Straub, Roland","Technology Shocks and Robust Sign Restrictions in a Euro Area Svar*","International Economic Review","","1468-2354","10.1111/j.1468-2354.2009.00546.x","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1468-2354.2009.00546.x","We use a model-based identification strategy to estimate the impact of technology shocks on hours worked and employment in the euro area. The sign restrictions applied in the vector autoregression (VAR) analysis are consistent with a large class of dynamic stochastic general equilibrium (DSGE) models and are robust to parameter uncertainty. The results are in line with the conventional Real Business Cycle (RBC) interpretation that hours worked rise as a result of a positive technology shock. By comparing the sign restrictions method to the long-run restriction approach of Galí (Quaterly Journal of Economics (1992) 709–38), we show that the results do not depend on the stochastic specification of the hours worked series or the data sample but only on the identification scheme.","2009","2023-03-28 10:02:56","2023-03-28 10:02:56","2023-03-16 09:28:53","727-750","","3","50","","","","","","","","","","en","","","","","Wiley Online Library","","","","; ","https://onlinelibrary.wiley.com/doi/full/10.1111/j.1468-2354.2009.00546.x?casa_token=1DjfKMA849EAAAAA%3A9_otC_3ynL7EGrbvNsRQyyd-oSkEJygjEAzsmRg9HK2mwPQ31l1NCxJfWTeRMLsYMLP2OgxpxkGVqAu9; https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1468-2354.2009.00546.x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LMPXJU7S","journalArticle","2010","Bańbura, Marta; Giannone, Domenico; Reichlin, Lucrezia","Large Bayesian vector auto regressions","Journal of Applied Econometrics","","1099-1255","10.1002/jae.1137","https://onlinelibrary.wiley.com/doi/abs/10.1002/jae.1137","This paper shows that vector auto regression (VAR) with Bayesian shrinkage is an appropriate tool for large dynamic models. We build on the results of De Mol and co-workers (2008) and show that, when the degree of shrinkage is set in relation to the cross-sectional dimension, the forecasting performance of small monetary VARs can be improved by adding additional macroeconomic variables and sectoral information. In addition, we show that large VARs with shrinkage produce credible impulse responses and are suitable for structural analysis. Copyright © 2009 John Wiley & Sons, Ltd.","2010","2023-03-28 10:02:57","2023-03-28 10:02:57","2023-03-16 09:29:20","71-92","","1","25","","","","","","","","","","en","","","","","Wiley Online Library","","","","; ","https://onlinelibrary.wiley.com/doi/full/10.1002/jae.1137?casa_token=m3w5g0nED1IAAAAA%3ADMPTBa07k7OTO87jo0QUv7ECSu_RC9MxMtUrYPKg-VRZas8YLhSsHVzfwpmyXxEMx8AfHl-bnrDj3n_g; https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/jae.1137","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MRU6QXLE","journalArticle","2008","Céspedes, Brisne; Lima, Elcyon; Maka, Alexis","Monetary policy, inflation and the level of economic activity in Brazil after the Real Plan: stylized facts from SVAR models","Revista Brasileira de Economia","","0034-7140, 1806-9134","10.1590/S0034-71402008000200001","http://www.scielo.br/j/rbe/a/cTBDbCCtNbgSKPs9SZsmrdx/abstract/?lang=en","This article uncovers some stylized facts about the short run fluctuations of the Brazilian economy after the Real Plan, giving special attention to the identification of the effects of monetary policy shocks. A distinctive feature of this article is the careful attention paid to monetary policy developments after the Real Plan when dividing our sample into two subsamples (1996:07-1998:08 and 1999:03-2004:12). We use directed acyclic graphs to identify the Structural Vector Autoregression (SVAR) models. In contrast with most SVAR analysis for Brazil, we found empirical evidence that supports the view that a contractionary monetary policy indeed reduces the price level.","2008-06","2023-03-28 10:02:57","2023-03-28 10:02:57","2023-03-16 09:29:53","123-160","","","62","","Rev. Bras. Econ.","Monetary policy, inflation and the level of economic activity in Brazil after the Real Plan","","","","","","","en","","","","","SciELO","","","","","https://www.scielo.br/j/rbe/a/cTBDbCCtNbgSKPs9SZsmrdx/?lang=en&format=pdf","Directed Acyclic Graphs; Monetary Policy; Structural VAR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XB3JCPV7","journalArticle","2008","Andries, Marius Alin","Monetary Policy Transmission Mechanism In Romania - A Var Approach","Theoretical and Applied Economics","","","","https://ideas.repec.org//a/agr/journl/v11(528)(supplement)y2008i11(528)(supplement)p250-260.html","From the central bank’s point of view, the transmission of monetary policy to the economy is of distinguished interest among various topics of macroeconomics. Without being aware of the monetary transmission mechanism it is not possible to conduct good policy. This paper applies the identified VAR methodology to synthetic national data from 2000 till Q2 2007 to study the macro-economic effects of an unexpected change in monetary policy in Romania.","2008","2023-03-28 10:02:57","2023-03-28 10:02:57","2023-03-16 09:31:26","250-260","","11(528)(supplement)","11(528)(supplement)","","","","","","","","","","en","","","","","ideas.repec.org","","","","; ","http://www.asociatiaeconomistilor.ro/documente/Conferinta_FABBV_engleza.pdf; https://ideas.repec.org/a/agr/journl/v11(528)(supplement)y2008i11(528)(supplement)p250-260.html","monetary transmission mechanism; vector autoregression.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"734ZU8RE","journalArticle","1992","Eichenbaum, Martin","‘Interpreting the macroeconomic time series facts: The effects of monetary policy’: by Christopher Sims","European Economic Review","","0014-2921","10.1016/0014-2921(92)90042-U","https://www.sciencedirect.com/science/article/pii/001429219290042U","NO ABSTRACT","1992-06-01","2023-03-28 10:02:57","2023-03-28 10:02:57","2023-03-16 09:33:01","1001-1011","","5","36","","European Economic Review","‘Interpreting the macroeconomic time series facts","","","","","","","en","","","","","ScienceDirect","","","","; ","https://www.sciencedirect.com/science/article/pii/001429219290042U/pdf?md5=2df72c06c307ec8cd4d3ebabee1176ed&pid=1-s2.0-001429219290042U-main.pdf&isDTMRedir=Y; https://www.sciencedirect.com/science/article/pii/001429219290042U","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
