"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"4U8YYX5H","journalArticle","2014","Memon, Pervaiz; Ghumro, Niaz","Impact of Monetary and Fiscal Policies on Pakistan's Economy using Vector Autoregressive Model","International SAMANM Journal of Finance and Accounting 2308-2356","","","","","This paper makes an attempt to develop a model on effects of monetary and fiscal stimulus in Pakistan economy. The well-trodden technique Vector autoregressive (VAR) has been applied on the annual time series data for the period from 1972-2007, including both fiscal and monetary sides using data on output gap, inflation, short term interest rate, and government fiscal deficit over the period. This paper makes the contribution in the literature by considering the impact of both monetary and fiscal policies together. We have found positive effect of fiscal stimulus on inflation; but that on output gap the effect is negative. Effect of interest rate on output gap and inflation has been found to be negative. For policy reaction, we have found countercyclical response of monetary policy; but that of fiscal policy is pro-cyclical. The response of interest rate to deficit financing is negative while fiscal deficit positively responds to changes in interest rate.","2014-10-01","2023-03-10 13:47:16","2023-03-10 13:47:16","","35-50","","","2","","International SAMANM Journal of Finance and Accounting 2308-2356","","","","","","","","","","","","","ResearchGate","","","","; ","https://www.researchgate.net/publication/290036656_Impact_of_Monetary_and_Fiscal_Policies_on_Pakistan%27s_Economy_using_Vector_Autoregressive_Model; https://www.researchgate.net/profile/Niaz-Ghumro/publication/290036656_Impact_of_Monetary_and_Fiscal_Policies_on_Pakistan%27s_Economy_using_Vector_Autoregressive_Model/links/56948e0708ae3ad8e33b786b/Impact-of-Monetary-and-Fiscal-Policies-on-Pakistans-Economy-using-Vector-Autoregressive-Model.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UHHDN8UJ","conferencePaper","2012","Bassey, B. E.; Bessong, P.; Effiong, C.","THE EFFECT OF MONETARY POLICY ON DEMAND FOR MONEY IN NIGERIA","","","","","https://www.semanticscholar.org/paper/THE-EFFECT-OF-MONETARY-POLICY-ON-DEMAND-FOR-MONEY-Bassey-Bessong/49142d6a3a86a7a55c9ce5e17e7f01b15db77bb5","The main thrust of this study was to investigate the effect of monetary policy on demand for money in Nigeria. Three hypotheses were formulated to guide and direct the study. The hypotheses formulated were meant to evaluate the relationship between interest rate and demand for money, inflation rate and demand for money and exchange rate and demand for money. Ex-post facto research design was adopted for the study. Relevant data for the study were collected from the Central Bank of Nigeria (CBN) statistical bulletin. Data collected was analyzed and tested using Ordinary Least Multiple regression statistical technique. Result of the finding revealed that there exist an inverse relationship between interest rate and money demanded, there exist and inverse relationship between expected inflation rate and money demanded and there exist an inverse relation between exchange rate and money demanded in Nigeria. It was recommended that the Nigerian government through the Central Bank should formulated good money policies that will ensure a stable demand for money function thereby encouraging economic growth in the country.","2012","2023-03-10 13:47:16","2023-03-10 13:47:16","2023-02-21 15:20:06","","","","","","","","","","","","","","","","","","","Semantic Scholar","","","","; ","https://journal-archieves25.webs.com/430-439.pdf; https://www.semanticscholar.org/paper/THE-EFFECT-OF-MONETARY-POLICY-ON-DEMAND-FOR-MONEY-Bassey-Bessong/49142d6a3a86a7a55c9ce5e17e7f01b15db77bb5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JH4D77U3","journalArticle","2017","Apergis, Nicholas; Lau, Chi Keung Marco","How deviations from FOMC’s monetary policy decisions from a benchmark monetary policy rule affect bank profitability: evidence from U.S. banks","Journal of Financial Economic Policy","","1757-6385","10.1108/JFEP-02-2017-0008","https://doi.org/10.1108/JFEP-02-2017-0008","Purpose This paper aims to provide fresh empirical evidence on how Federal Open Market Committee (FOMC) monetary policy decisions from a benchmark monetary policy rule affect the profitability of US banking institutions. Design/methodology/approach It thereby provides a link between the literature on central bank monetary policy implementation through monetary rules and banks’ profitability. It uses a novel data set from 11,894 US banks, spanning the period 1990 to 2013. Findings The empirical findings show that deviations of FOMC monetary policy decisions from a number of benchmark linear and non-linear monetary (Taylor type) rules exert a negative and statistically significant impact on banks’ profitability. Originality/value The results are expected to have substantial implications for the capacity of banking institutions to more readily interpret monetary policy information and accordingly to reshape and hedge their lending behaviour. This would make the monetary policy decision process less noisy and, thus, enhance their capability to attach the correct weight to this information.","2017-01-01","2023-03-10 13:47:16","2023-03-10 13:47:16","2023-02-21 15:22:12","354-371","","4","9","","","How deviations from FOMC’s monetary policy decisions from a benchmark monetary policy rule affect bank profitability","","","","","","","","","","","","Emerald Insight","","","","","https://www.emerald.com/insight/content/doi/10.1108/JFEP-02-2017-0008/full/pdf?title=how-deviations-from-fomcs-monetary-policy-decisions-from-a-benchmark-monetary-policy-rule-affect-bank-profitability-evidence-from-us-banks","E52; Banks; C33; Central banks and their policies; E58; G21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UBBTP2XZ","journalArticle","2012","Woodford, Michael","Inflation Targeting and Financial Stability","","","","10.3386/w17967","https://www.nber.org/papers/w17967","A number of commentators have argued that the desirability of inflation targeting as a framework for monetary policy analysis should be reconsidered in light of the global financial crisis, on the ground that it requires neglect of the implications of monetary policy for financial stability. This paper argues that monetary policy may indeed affect the severity of risks to financial stability, but that it is possible to generalize an inflation targeting framework to take account of financial stability concerns alongside traditional stabilization objectives. The resulting framework can still be viewed as a form of flexible inflation targeting; in particular, the paper proposes a target criterion that would still imply an invariant long-run price level, despite fluctuations over time in risks to financial stability or even the occurrence of occasional financial crises.","2012-04","2023-03-10 13:47:16","2023-03-10 13:47:16","2023-02-21 15:32:56","","","","","","","","","","","","","","","","","","","National Bureau of Economic Research","","","","","https://www.nber.org/system/files/working_papers/w17967/w17967.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"46PK82AN","conferencePaper","2015","Li, Wei","The Information Content of Surprise Changes in the Fed Funds Futures Rate","","","","","https://www.semanticscholar.org/paper/The-Information-Content-of-Surprise-Changes-in-the-Li/246ccf1379db29393f39a5b8e5c9f42837ff22c9","This paper attempts to explain a price puzzle associated with surprise changes in the Fed funds futures rate due to the Fed’s policy announcements, a popular monetary shock measure. I show that these monetary shocks exhibit the price puzzle: a tightening shock significantly raises the price level. To explain the puzzle, I decompose futures rate surprises to show that these surprises are not clean monetary shocks, but contaminated by (1) information shocks due to the information gap between the Fed and the market, and (2) revisions in risk premia due to the revelation of the information gap. A simple measure of the information gap as forecast differences between the Fed and the market on the current state of the economy accounts for about 20% variations in futures rate surprises. Controlling for information differences between the Fed and the market solves the price puzzle. ∗Wei Li, Erasmus University Rotterdam and Tinbergen Institute, P.O. Box 1738, 3000 DR, Rotterdam, The Netherlands. Email: w.li@ese.eur.nl. I thank Casper de Vries for his very valuable guidance. I thank Massimo Giuliodori, Lorenzo Pozzi and Sweder van Wijnbergen, and seminar and conference participants at Tinbergen Institute, RES 2014 Meeting, and T2M Conference for helpful comments and suggestions. I am very grateful to Justinas Brazys and Clara Vega for sharing data with me.","2015","2023-03-10 13:47:16","2023-03-10 13:47:16","2023-02-21 15:33:46","","","","","","","","","","","","","","","","","","","Semantic Scholar","","","","","https://www.semanticscholar.org/paper/The-Information-Content-of-Surprise-Changes-in-the-Li/246ccf1379db29393f39a5b8e5c9f42837ff22c9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZX78AMKS","journalArticle","2016","Dessimirova, Denitza; Paternoster, Dario","Is Nominal GDP Targeting a Suitable Tool for ECB Monetary Policy?","","","","","https://policycommons.net/artifacts/1334178/is-nominal-gdp-targeting-a-suitable-tool-for-ecb-monetary-policy/1939412/","Inflation targeting has been widely considered as the most suitable approach to maintain price stability and support growth. Inflation targeting is a monetary policy in which a central bank has an explicit target inflation rate for the medium term and announces this inflation target to the public. Inflation targeting was pioneered by the central bank of New Zealand in 1990 and today it is used by several key central banks, including the European Central Bank (ECB), the US Federal Reserve and the Bank of Japan.","2016-02-09","2023-03-10 13:47:16","2023-03-10 13:47:16","2023-02-21 15:35:14","","","","","","","","","","","","","","en","","","","","policycommons.net","","","","","https://policycommons.net/artifacts/1334178/is-nominal-gdp-targeting-a-suitable-tool-for-ecb-monetary-policy/1939412/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8953QD6S","journalArticle","2015","Vogel, Lukas; Hohberger, Stefan; Herz, Bernhard","Should Commodity Exporters Peg to the Export Price?","Review of Development Economics","","1467-9361","10.1111/rode.12172","https://onlinelibrary.wiley.com/doi/abs/10.1111/rode.12172","To account for the specific situation of commodity exporters, pegging to export prices (PEP) has been proposed elsewhere as an alternative to other conventional monetary regimes such as an exchange rate peg or inflation targeting. PEP is supposed to deliver automatic accommodation to terms-of-trade shocks, while retaining the credibility gain from a nominal anchor. This paper analyzes the PEP proposal in a dynamic general-equilibrium model and compares it with a standard Taylor rule, consumer price index (CPI)-level targeting and a nominal exchange rate peg. Judged by the degree of output stabilization, PEP performs very similar to CPI targeting for export demand as well as domestic demand shocks and underperforms in the case of shocks to the export price. The results suggest that PEP is not superior to conventional CPI targeting from a macroeconomic stabilization perspective.","2015","2023-03-10 13:47:16","2023-03-10 13:47:16","2023-02-21 15:37:52","486-501","","3","19","","","","","","","","","","en","","","","","Wiley Online Library","","","","; ","https://onlinelibrary.wiley.com/doi/full/10.1111/rode.12172?casa_token=OrdyYmyZwiMAAAAA%3Akq2SgCpSqkW0yLfvx-Rwb_gLGSz1wPn_olvPpfcYsvxXLahLrr9Wjt_2gG7bQfHyouVmUuRAczbGRCIP; https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/rode.12172","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32UQB7L5","journalArticle","2016","Tenreyro, Silvana; Thwaites, Gregory","Pushing on a String: US Monetary Policy Is Less Powerful in Recessions","American Economic Journal: Macroeconomics","","1945-7707","10.1257/mac.20150016","https://www.aeaweb.org/articles?id=10.1257/mac.20150016","We investigate how the response of the US economy to monetary policy shocks depends on the state of the business cycle. The effects of monetary policy are less powerful in recessions, especially for durables expenditure and business investment. The asymmetry relates to how fast the economy is growing, rather than to the level of resource utilization. There is some evidence that fiscal policy has counteracted monetary policy in recessions but reinforced it in booms. We also find evidence that contractionary policy shocks are more powerful than expansionary shocks, but contractionary shocks have not been more common in booms. So this asymmetry cannot explain our main finding.","2016-10","2023-03-10 13:47:16","2023-03-10 13:47:16","2023-02-21 15:40:17","43-74","","4","8","","","Pushing on a String","","","","","","","en","","","","","www.aeaweb.org","","","","","https://cep.lse.ac.uk/pubs/download/dp1218.pdf","Capacity, Business Fluctuations; Capital; Cycles, Monetary Policy; Intangible Capital; Macroeconomics: Consumption; Saving; Wealth, Investment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BKXDH87A","journalArticle","2014","Twinoburyo, Enock; Odhiambo, Nicholas","Monetary policy and economic growth dynamics in Uganda","","","","","","This paper provides an overview of Uganda's economic, monetary and financial reforms - since Uganda's independence in 1962. It traces the economic and monetary performance over the years; and it highlights the challenges facing the performance of monetary policy. In particular, the study tries to assess the main features of Uganda's monetary regime, and the associated economic performance from 1962 to date (May, 2014). Over the years, Uganda has shifted from direct controls of interest rate and credit to base money targeting during the 1990s as agreed under the IMF/WB structural adjustment programes. Since June 2011, the country has moved from monetary targeting to inflation targeting lite. Better economic management, including monetary policy since the early 1990s, has led to significant economic and financial performance - manifested in the form of high growth rates, low inflation, and steadfast growth in money supply and private sector credit. However, the performance of monetary policy still faces a number of the challenges, including fiscal dominance, monetary-policy-competing objectives and shallow financial markets. In order to overcome these challenges, the study recommends that the country reduces its over-reliance on monetary policy, in order to achieve competing goals, to improve the effectiveness of monetary and fiscal policy mix, to continue to improve its analytical capacity - by further strengthening of the legal and institutional framework for economic policies.","2014-01-01","2023-03-10 13:47:16","2023-03-10 13:47:16","","18-28","","","9","","","","","","","","","","","","","","","ResearchGate","","","","","https://www.researchgate.net/publication/299409754_Monetary_policy_and_economic_growth_dynamics_in_Uganda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J7R89MRY","journalArticle","2014","Luqman, Sulaiman A.","The nexus between monetary policy and economic growth in Nigeria: a causality test","Public and Municipal Finance, Vol.3. Issue 2, 2014","","","","https://www.academia.edu/11548444/The_nexus_between_monetary_policy_and_economic_growth_in_Nigeria_a_causality_test","Monetary policy is an economic strategy taken by the government normally through the apex bank of a nation – Central Bank to influence the economy. It is geared towards creating stability in the economy and fostering economic growth which have been","2014-12-01","2023-03-10 13:47:16","2023-03-10 13:47:16","2023-02-21 15:46:32","","","","","","","The nexus between monetary policy and economic growth in Nigeria","","","","","","","","","","","","www.academia.edu","","","","","https://www.academia.edu/11548444/The_nexus_between_monetary_policy_and_economic_growth_in_Nigeria_a_causality_test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
