"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"35RH8GA9","book",2020,"Laséen, S","Monetary policy surprises, central bank information shocks, and economic activity in a small open economy",NA,NA,NA,NA,"https://www.econstor.eu/handle/10419/232599","… effects of monetary policy on economic activity and asset prices in Sweden, separately identifying the effects of a conventional policy change from effects … contain monetary policy shocks …","2020",2023-02-13 13:31:41,2023-02-13 13:31:41,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Query date: 2023-02-09 16:59:31",NA,NA,"econstor.eu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F4UXW8I6","book",2017,"Mallick, S; Mohanty, MS; Zampolli, F","Market volatility, monetary policy and the term premium",NA,NA,NA,NA,"https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2900861","… loosening of monetary policy – through a cut in … monetary policy boosts economic activity in the precrisis period, bond purchases are found to have no statistically significant real effects …","2017",2023-02-13 13:31:41,2023-02-13 13:31:41,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Query date: 2023-02-09 16:59:31",NA,NA,"papers.ssrn.com",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LZCGUAKJ","journalArticle",1994,"Bynoe, AJ","Monetary and fiscal influences on economic activity in African countries","African Review of Money Finance and Banking",NA,NA,NA,"https://www.jstor.org/stable/23027487","… the relative impact of fiscal and monetary policy influences on economic activity in five African … The results, in effect, suggest that monetary policy can be pursued more successfully as a …","1994",2023-02-13 13:31:41,2023-02-13 13:31:41,NA,NA,NA,"Query date: 2023-02-09 16:59:31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UQCS3Y4I","journalArticle",1977,"Friedman, BM; Duesenberry, J; Poole, W","The inefficiency of short-run monetary targets for monetary policy","… Papers on Economic Activity",NA,NA,NA,"https://www.jstor.org/stable/2534405","… the effect of monetary policy on nonfinancial economic activity; and, second, that the free-reserves position was a poor instrument for controlling the money stock. The latter criticism was …","1977",2023-02-13 13:31:41,2023-02-13 13:31:41,NA,NA,NA,"Query date: 2023-02-09 16:59:31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9TPJ8IXV","journalArticle",2010,"Chami, R; Cosimano, TF","Monetary policy with a touch of Basel","Journal of Economics and Business",NA,NA,NA,"https://www.sciencedirect.com/science/article/pii/S0148619509000733","… We derive the option value of holding capital, and show how this value is affected by monetary policy, level of economic activity, structure of the banking industry, and by changes in the …","2010",2023-02-13 13:31:41,2023-02-13 13:31:41,NA,NA,NA,"Query date: 2023-02-09 16:59:31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77IDBCPY","book",1987,"Gylfason, T","Credit policy and economic activity in developing countries with IMF stabilization programs",NA,NA,NA,NA,"https://ies.princeton.edu/pdf/S60.pdf","… Zambia), two countries that experienced severe external shocks during the period under review (Gabon, Mauritius), and one country that does not have an independent monetary policy …","1987",2023-02-13 13:31:41,2023-02-13 13:31:41,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Query date: 2023-02-09 16:59:31",NA,NA,"ies.princeton.edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8MLXD7X3","journalArticle",1992,"Christiano, LJ; Eichenbaum, M","Liquidity effects, the monetary transmission mechanism, and monetary policy","Economic Perspectives",NA,NA,NA,"https://www.chicagofed.org/publications/economic-perspectives/1992/10novdec1992-part1-christiano","… (as opposed to purely transitory) liquidity effects. We argue that once a simplified version of … , significant liquidity effects as well as persistent increases in aggregate economic activity. …","1992",2023-02-13 13:31:41,2023-02-13 13:31:41,NA,NA,NA,"Query date: 2023-02-09 16:59:31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RV2X3YCB","journalArticle",1970,"Hamburger, MJ","Indicators of monetary policy: The arguments and the evidence","The American Economic Review",NA,NA,NA,"https://www.jstor.org/stable/1815782","… tightness or ease of monetary policy; that is, the problem of selecting variables to serve as indicators (or gauges) of the impact of monetary policy on economic activity.' Most observers …","1970",2023-02-13 13:31:41,2023-02-13 13:31:41,NA,NA,NA,"Query date: 2023-02-09 16:59:31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HTDDAZMZ","journalArticle",2020,"Boucinha, M; Burlon, L; Kapp, D","Negative rates and the transmission of monetary policy","Economic Bulletin Articles",NA,NA,NA,"https://ideas.repec.org/a/ecb/ecbart/202000032.html","… The article then elaborates on the impact of the negative rate policy on key macroeconomic aggregates, notably economic activity and inflation. JEL Classification: E42, E52, G21 …","2020",2023-02-13 13:31:41,2023-02-13 13:31:41,NA,NA,NA,"Query date: 2023-02-09 16:59:31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AYJ5U3N8","journalArticle",1988,"Eisner, R; Pieper, PJ","Deficits, Monetary Policy, and Real Economic Activity","The Economics of Public Debt: Proceedings of a …",NA,NA,"10.1007/978-1-349-19459-9_1","https://link.springer.com/chapter/10.1007/978-1-349-19459-9_1","… We have introduced two different measures of monetary policy … which is relevant to real economic activity, we have adjusted the … affects its real value. Secondly, we relate changes in real …","1988",2023-02-13 13:31:41,2023-02-13 13:31:41,NA,NA,NA,"Query date: 2023-02-09 16:59:31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UPMSICIM","journalArticle",2020,"ANWAR, CJ; SUHENDRA, I","Monetary policy independence and bond yield in developing countries","The Journal of Asian Finance …",NA,NA,NA,"https://www.koreascience.or.kr/article/JAKO202032462596849.page","… This paper investigates the impact of monetary policy independence shock on … effect of CBI on consumption and investment considers the effect of monetary policy on economic activity …","2020",2023-02-13 13:31:41,2023-02-13 13:31:41,NA,NA,NA,"Query date: 2023-02-09 16:59:31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L4CHISWA","book",1992,"Kashyap, AK; Stein, JC; Wilcox, DW","Monetary policy and credit conditions: Evidence from the composition of external finance",NA,NA,NA,NA,"https://www.nber.org/papers/w4015","… A first necessary condition for monetary policy to work through … We find that tighter monetary policy leads to a shift in firms' mix … predictive power for many measures of economic activity. …","1992",2023-02-13 13:31:41,2023-02-13 13:31:41,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Query date: 2023-02-09 16:59:31",NA,NA,"nber.org",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FZRPZ9Y5","journalArticle",2002,"Sellon, GH","The changing US financial system: some implications for the monetary transmission mechanism","Economic Review-Federal Reserve Bank of Kansas …",NA,NA,NA,"https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=f1ea99791299aceadec44edbf3dc5e79e2df0bf6","… monetary policy affects economic activity. In a simple, stylized view of the interest rate channel, monetary policy … Finally, economic activity responds as businesses and consumers react …","2002",2023-02-13 13:31:42,2023-02-13 13:31:42,NA,NA,NA,"Query date: 2023-02-09 16:59:31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9L4SQK26","book",2002,"Hemming, R; Mahfouz, S; Schimmelpfennig, A","Fiscal policy and economic activity during recessions in advanced economies",NA,NA,NA,NA,"https://papers.ssrn.com/sol3/papers.cfm?abstract_id=879624","… This is the standard prediction, because monetary policy is directed towards preserving the fixed exchange rate and fiscal policy is therefore not significantly crowded out by interest …","2002",2023-02-13 13:31:42,2023-02-13 13:31:42,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Query date: 2023-02-09 16:59:31",NA,NA,"papers.ssrn.com",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7NANWQI9","journalArticle",2022,"Funashima, Y","Effects of unanticipated monetary policy shocks on monetary policy uncertainty","Finance Research Letters",NA,NA,NA,"https://www.sciencedirect.com/science/article/pii/S1544612321003494","… unanticipated monetary policy shocks impact monetary policy uncertainty. … monetary policy uncertainty has negative effects on economic activity, our findings reveal a new adverse effect …","2022",2023-02-13 13:31:42,2023-02-13 13:31:42,NA,NA,NA,"Query date: 2023-02-09 16:59:31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KAS6ELED","journalArticle",2002,"Johnson, C","Fiscal and monetary policy in economic and monetary union","Maastricht and Beyond",NA,NA,NA,"https://api.taylorfrancis.com/content/chapters/edit/download?identifierName=doi&identifierValue=10.4324/9780203427125-8&type=chapterpdf","… effects on output and employment. The danger would be that loose fiscal policy would not merely offset but undermine tight monetary policy, … rather than stimulating economic activity. …","2002",2023-02-13 13:31:42,2023-02-13 13:31:42,NA,NA,NA,"Query date: 2023-02-09 16:59:31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"XQI9BM4L","journalArticle",1984,"Simpson, TD; Blinder, AS","Changes in the financial system: Implications for monetary policy","Brookings Papers on Economic Activity",NA,NA,NA,"https://www.jstor.org/stable/2534280","… objectives have been announced publicly by the Federal Reserve Board, and, for much longer, observers have focused on the money stock as an indicator or guide to monetary policy. …","1984",2023-02-13 13:31:42,2023-02-13 13:31:42,NA,NA,NA,"Query date: 2023-02-09 16:59:31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X8BARWFF","journalArticle",1963,"Brunner, K; Meltzer, AH","The place of financial intermediaries in the transmission of monetary policy","The American Economic Review",NA,NA,NA,"https://www.jstor.org/stable/1823879","… The influence of evolving financial institutions on the mechanism linking monetary policy with the pace of economic activity has recently attracted widespread attention. An active …","1963",2023-02-13 13:31:42,2023-02-13 13:31:42,NA,NA,NA,"Query date: 2023-02-09 16:59:31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HSEXVAJ3","journalArticle",1992,"McNees, SK","A forward-looking monetary policy reaction function: continuity and change","New England economic review",NA,NA,NA,"https://ideas.repec.org/a/fip/fedbne/y1992inovp3-13.html","… monetary policy has been influenced by forecasts of and past experience with three broad factors: inflation, economic activity… The author models monetary policy econometrically, testing …","1992",2023-02-13 13:31:42,2023-02-13 13:31:42,NA,NA,NA,"Query date: 2023-02-09 16:59:31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RIZT4QH5","journalArticle",2011,"Baum, A; Koester, G","The impact of fiscal policy on economic activity over the business cycle-evidence from a threshold VAR analysis","Available at SSRN 2785397",NA,NA,NA,"https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2785397","… The traditional monetary transmission mechanism is weak and monetary policy alone seems unable to counter the huge contraction of demand. Furthermore, many countries have …","2011",2023-02-13 13:31:42,2023-02-13 13:31:42,NA,NA,NA,"Query date: 2023-02-09 16:59:31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
