"label","key","item type","publication year","author","title","publication title","isbn","issn","doi","url","abstract note","date","date added","date modified","access date","pages","num pages","issue","volume","number of volumes","journal abbreviation","short title","series","series number","series text","series title","publisher","place","language","rights","type","archive","archive location","library catalog","call number","extra","notes","file attachments","link attachments","manual tags","automatic tags","editor","series editor","translator","contributor","attorney agent","book author","cast member","commenter","composer","cosponsor","counsel","interviewer","producer","recipient","reviewed author","scriptwriter","words by","guest","number","edition","running time","scale","medium","artwork size","filing date","application number","assignee","issuing authority","country","meeting name","conference name","court","references","reporter","legal status","priority numbers","programming language","version","system","code","code number","section","session","committee","history","legislative body","matches"
"ref_08017","3DKV8KS3","journalArticle",2017,"Adalı, Zafer; Bari, Bilgin","Monetary Policy And Bank Lending Chanel in Turkey","International Journal of Finance & Banking Studies (2147-4486)",NA,"2147-4486",NA,"https://ssbfnet.com/ojs/index.php/ijfbs/article/view/29","The main purpose of this study is to evaluate whether the bank lending channel exist or not. Within this context, quarterly data of for the periods between 2002q1 and 2016q4 was taken into the consideration. Additionally, VAR model was used to reach the objective. According to the result of impulse response function, it was reached that producer price index, real exchange rate and policy rate are effective determinants. Additionally, banks balance sheet has important and positive influence on total credits but industrial production index is regarded as partially effective. While considering this result, it was also found that both bank balance and macroeconomic variables used in this study is the main determinants of bank total credit.","2017-04-15",2023-03-16 15:37:54,2023-03-16 15:37:54,1678203248,"22-36",NA,"2","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,NA,NA,"ssbfnet.com",NA,NA,NA,NA,NA,"VAR; Bank Credits; Bank Lending Channel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7603
"ref_08678","G8F5T886","journalArticle",2010,"Kugler, Peter; Sheldon, George","Unemployment and monetary policy in Switzerland","Swiss Journal of Economics and Statistics",NA,"2235-6282","10.1007/BF03399301","https://doi.org/10.1007/BF03399301","This paper investigates the impact of the monetary policy change of the Swiss National Bank (SNB) in 1999 on the Swiss labor market on the basis of a Phillips relationship. Theoretical considerations as well as previous empirical work suggest that the SNB’s shift to a more inflation-targeted policy should have increased real-wage flexibility and lowered the NAIRU, the sacrifice ratio, and the level and persistence of inflation in Switzerland. Our results tend to confirm these expectations, although a number of the measured effects are not statistically significant.","2010-01-01",2023-03-16 15:40:22,2023-03-16 15:40:22,1678278569,"185-208",NA,"1","146",NA,"Swiss J Economics Statistics",NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,NA,NA,"Springer Link",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8243
"ref_07685","9SNF37YM","journalArticle",2020,"Ibrahim, Mansor H.","Monetary policy, financial development and income inequality in developing countries","The Singapore Economic Review",NA,"0217-5908","10.1142/S0217590821410010","https://www.worldscientific.com/doi/abs/10.1142/S0217590821410010","The paper empirically examines the redistributive effect of monetary policy and assesses whether financial development plays any role in shaping monetary policy — inequality relations in developing countries. We uncover evidence supporting the redistributive consequences of monetary policy especially in more financially developed countries. We further note that while financial development raises income inequality in countries with low financial development, it leads to a reduction in income inequality in high financial development countries. As a side result, economic growth contributes favorably to income equalization in these countries. Finally, such financial indicators as financial access, financial efficiency and financial stability also condition the impacts of monetary policy on income distribution, although they are independently insignificant. Our results hint that the improvements in information and in efficiency rather than depth and access that would attenuate the negative impacts of contractionary monetary policy on income distribution.","2020-12-14",2023-03-16 15:36:24,2023-03-16 15:36:24,1678123278,"1-31",NA,NA,NA,NA,"Singapore Econ. Rev.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"worldscientific.com (Atypon)",NA,NA,NA,NA,NA,"Monetary policy; income inequality; developing countries; panel VAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7274
"ref_08766","X2IBW4BU","journalArticle",2010,"Mann, Geoff","Hobbes’ redoubt? Toward a geography of monetary policy","Progress in Human Geography",NA,"0309-1325","10.1177/0309132509353817","https://doi.org/10.1177/0309132509353817","This paper undertakes three tasks: (1) to consider monetary policy?s role in contemporary capitalism and state governance; (2) to introduce the fundamentals of contemporary monetary policy; and (3) to outline some of the material and ideological stakes in the social, political, and economic geographies of monetary policy and central banking as practised in advanced capitalist nation states. I focus on subnational and class effects, arguing that the precarious relation between central banks and national democratic processes has become increasingly tenuous. Empirical examples are drawn from Canada and the USA.","2010-10-01",2023-03-16 15:40:43,2023-03-16 15:40:43,1678282046,"601-625",NA,"5","34",NA,NA,"Hobbes’ redoubt?",NA,NA,NA,NA,NA,NA,"en",NA,NA,NA,NA,"SAGE Journals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8325
"ref_07804","KS8MECYV","journalArticle",2017,"Rochon, Louis-Philippe","Rethinking monetary policy","A Modern Guide to Rethinking Economics",NA,NA,NA,"https://www.elgaronline.com/display/edcoll/9781784717209/9781784717209.00021.xml","Mainstream monetary theory rests on two arguments: inflation is determined by demand, and interest rates are used to return inflation to its target: central banks are the guardians of inflation. However, for post-Keynesians, inflation cannot be caused by demand, and there exists a poor and unreliable relationship between interest rates and aggregate demand. The whole theoretical edifice of the neoclassical approach collapses. Therefore, if monetary policy is based on a wrong interpretation of inflation and the link between aggregate demand and interest rates, the result can be and has been catastrophic. It leads to periods of crisis in aggregate demand.","2017-04-28",2023-03-16 15:36:50,2023-03-16 15:36:50,1677608840,"199-216",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"en_US",NA,NA,NA,NA,"www.elgaronline.com",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7392
"ref_10055","RNFDTGS7","journalArticle",2006,"Clausen, Volker; Hayo, Bernd","Asymmetric monetary policy effects in EMU","Applied Economics",NA,"0003-6846","10.1080/00036840600581497","https://doi.org/10.1080/00036840600581497","This paper develops a semi-structural modelling approach to study asymmetric monetary transmission in Europe. A system of dynamic equations containing reaction functions for monetary policy as well as output gap and inflation equations is simultaneously estimated for France, Germany and Italy. We find asymmetries on the demand side in the strength of interest rate transmission and on the supply side in the effects of the output gap on inflation. The responses are similar in Germany and Italy and generally stronger than in France. Out-of-sample tests do not find a structural break in the transmission mechanisms prior to the establishment of the European Monetary Union.","2006-06-10",2023-03-16 15:45:27,2023-03-16 15:45:27,1678406400,"1123-1134",NA,"10","38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taylor and Francis+NEJM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9578
"ref_00648","2L925XHC","journalArticle",2022,"Jacobson, Margaret M.; Matthes, Christian; Walker, Todd B.","Inflation Measured Every Day Keeps Adverse Responses Away: Temporal Aggregation and Monetary Policy Transmission",NA,NA,NA,NA,"https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=2014047&site=ehost-live","Using daily inflation data from the Billion Prices Project [Cavallo and Rigobon (2016)], we show how temporal aggregation biases estimates of monetary policy transmission. We argue that the information mismatch between private agents and the econometrician--the source of temporal aggregation bias--is equally important as the more studied mismatch between private agents and the central bank (the ""Fed information effect""). We find that the adverse response of daily inflation to high-frequency monetary policy shocks is short-lived, if present at all, in impulse responses from both local projections and an unobserved components model of inflation dynamics. To reconcile how one can obtain a sizable adverse response with monthly or quarterly data when only a limited adverse response exists at a higher frequency, we appeal to a simple monetary policy model and show how temporal aggregation bias can exacerbate initial impulse response functions. Because our modeling results are generic and macroeconomic indicators are published with a lag, we argue that temporal aggregation bias will be a key feature of the nascent field of high-frequency macroeconomics.","2022",2023-02-13 13:34:38,2023-02-13 13:34:38,NA,"48-p.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"eoh","Availability Note: Information provided in collaboration with the RePEc Project: http://repec.org","EBSCOhost",NA,NA,NA,NA,NA,"Inflation; Deflation E31; Monetary Policy E52; Price Level; Macroeconomics and Monetary Economics: General E00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,638
"ref_00981","KNDNXE9J","journalArticle",2010,"Eickmeier, Sandra","Analyse der Ubertragung US-amerikanischer Schocks auf Deutschland auf Basis eines FAVAR. (A FAVAR-Based Analysis of the Transmission of US Shocks to Germany. With English summary.)","Jahrbucher fur Nationalokonomie und Statistik",NA,"00214027",NA,"https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=1152146&site=ehost-live","The paper assesses the transmission of US supply, demand, and monetary policy shocks between 1976 and 2008 based on a factor-augmented vector autoregressive model (FAVAR) which is applied to a newly constructed set of more than 200 German time series. The study not only assesses the transmission of US shocks to German GDP via impulse response analysis but also to a large number of variables capturing the various transmission channels. The inclusion not only of aggregate trade variables but also of variables covering trade with different partner countries/regions helps analyzing more deeply the trade channel, e.g., the role of direct trade versus trade with third countries. Another focus lies on the transmission of US shocks to specific industries such as the car and the machinery industries which were particularly severely affected by the global financial crisis. Finally, the role of US shocks for the most recent downturn in Germany is assessed based on a historical decomposition.","2010-10",2023-02-13 13:34:52,2023-02-13 13:34:52,NA,"571-600",NA,"5","230",NA,"Jahrbucher fur Nationalokonomie und Statistik",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"eoh",NA,"EBSCOhost",NA,NA,NA,NA,NA,"Diffusion Processes; Dynamic Quantile Regressions; Dynamic Treatment Effect Models; Multiple or Simultaneous Equation Models: Time-Series Models; State Space Models C32; International Policy Coordination and Transmission F42; International Business Cycles F44; Empirical Studies of Trade F14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,956
"ref_03083","DW9TKE3R","journalArticle",2005,"Sweidan, Osama; Kalaji, Fadwa","The Central Bank Cost Constraint and Output-Inflation Variability: A Note on Cecchetti and Ehrmann 2000","Economics Bulletin",NA,NA,NA,"https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=0892834&site=ehost-live","The goal of this paper is to extend the model of Cecchetti and Ehrmann 2000 to study the case of developing countries that have a constraint in conducting their monetary policies. Contrary to Cecchetti and Ehrmann 2000 model, our model shows that the existence of such a constraint i.e., cost restriction allows the aggregate demand shock to affect the output-inflation variability. Our model also shows that adding a monetary policy cost restriction to the central bank loss function leads to either a steeper or flatter efficient frontier. This implies that the effect of monetary policy to offset aggregate demand and supply shocks is reduced.","2005",2023-02-13 13:36:17,2023-02-13 13:36:17,NA,"1-6",NA,"12","5",NA,"Economics Bulletin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"eoh",NA,"EBSCOhost",NA,NA,NA,NA,NA,"Inflation; Deflation E31; Macroeconomics: Production E23; Price Level; Central Banks and Their Policies E58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2976
"ref_02261","DPI9IY5H","journalArticle",2016,"Benchimol, Jonathan","Money and Monetary Policy in Israel during the Last Decade","Journal of Policy Modeling",NA,"01618938",NA,"https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=1561920&site=ehost-live","This study examines how money and monetary policy have influenced output and inflation during the past decade in Israel by comparing two New Keynesian DSGE models. One is a baseline separable model (Gali, 2008) and the other assumes non-separable household preferences between consumption and money (Benchimol & Fourcans, 2012). We test both models by using rolling window Bayesian estimations over the last decade (2001-2013). The results of the presented dynamic analysis show that the sensitivity of output with respect to money shocks increased during the Dot-com, Intifada, and Subprime crises. The role of monetary policy increased during these crises, especially with regard to inflation, even though the effectiveness of conventional monetary policy decreased during the Subprime crisis. In addition, the non-separable model including money provides lower forecast errors than the baseline separable model without money, while the influence of money on output fluctuations can be seen as a good predictive indicator of bank and debt risks. By impacting and monitoring households' money holdings, policy makers could improve their forecasts and crisis management through models considering monetary aggregates.","2016-01",2023-02-13 13:35:43,2023-02-13 13:35:43,NA,"103-124",NA,"1","38",NA,"Journal of Policy Modeling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"eoh",NA,"EBSCOhost",NA,NA,NA,NA,NA,"Inflation; Deflation E31; Macroeconomics: Production E23; Monetary Policy E52; Price Level; General Aggregative Models: Keynes; Keynesian; Post-Keynesian E12; Household Saving; Personal Finance D14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2177
