"Variable","Explanation","Share"
"VAR","Vector autoregression (VAR) + vector error correction models (VECM)",70.0894769697786
"LP-ARDL","Local projection (LP) and autoregressive distributed lag (ARDL) models",12.8083038544867
"FAVAR","Factor Augmented VAR (FAVAR) estimation",4.75415253926093
"Other VAR","Other VAR estimation method (e.g. TVP-VAR, GVAR)",9.59398753932213
"DSGE","Estimated DSGE model",2.75407909715167
"Cholesky","Cholesky decomposition or SVAR restrictions",48.2869628015717
"Sign restrictions","Sign restrictions of responses",18.5098596031678
"High-Frequency","High frequency information",12.7887192920181
"Narrative","Narrative approach",12.3101215466908
"Other identification","Other strategy (e.g. long-run restrictions, heteroskedasticity, DSGE)",8.10433675655165
"Top publication","Paper published in top-50 economics journal",13.6259593375522
"Central bank","Central bank outlet or authors affiliated with central bank",54.3545050613854
"Publication year","Publication year of the study",2015.27679106944
"Citations","Number of citations in Google Scholar",155.949273568794
"By-product","Indicator whether the estimate was not the main research question",58.3546519456039
"Preferred estimate","The authors signal an estimate to be their preferred one",38.521610340649
"US","Estimates based on US data",47.510924513752
"Euro Area","Estimates based on Euro Area country data",16.198881231869
"Other advanced","Other advanced countries (e.g. UK, Japan, Canada, Australia)",25.4378985764471
"Emerging","Emerging market countries",10.8522956779319
"GDP","GDP is the output variable",34.2241364093693
"IP","Industrial production is the output variable",13.0937461387746
"Output gap","Output gap is the output variable",3.18959278414206
"CPI","Consumer Price Index is the price level variable",29.7848304591107
"GDP deflator","GDP deflator is the price level variable",16.5498737930913
"Other price","Other price measure (e.g. Core or Wholesale Price Index)",3.15782041551198
"Overnight rate","Short-term rates (including money market and policy rates)",47.2587732719684
"Lending rate","Weekly to monthly lending and bond rates",34.0085927267831
"Year rate","Yearly to longer-term rates",18.7326340012485
"Annual frequency","Estimates based on annual frequency data",0.809087236985446
"Quarterly frequency","Estimates based on quarterly frequency data",63.8970831242273
"Monthly frequency","Estimates based on monthly frequency data",35.2938296387872
"Panel data","Panel data used",11.6344541415229
"Time series","Time series data used",88.3655458584771
