"Variable","Explanation","Share"
"VAR","Vector autoregression (VAR) + vector error correction models (VECM)",70.0894769697786
"LP/ARDL","Local projection (LP) and autoregressive distributed lag (ARDL) models",12.8083038544867
"FAVAR","Factor Augmented VAR (FAVAR) estimation",4.75415253926093
"Other VAR","Other VAR estimation method (e.g. TVP-VAR, GVAR)",9.59398753932213
"DSGE","Estimated DSGE model",2.75407909715167
"Publication year","Publication year of the study",2015.27679106944
"Citations","Number of citations in Google Scholar",155.949273568821
"By-product","Indicator whether the estimate was not the main research question",58.3546519456039
"Preferred estimate","The authors signal an estimate to be their preferred one",38.521610340649
"GDP","GDP is the output variable",34.2241364093693
"IP","Industrial production is the output variable",13.0937461387746
"Output gap","Output gap is the output variable",3.18959278414206
"CPI","Consumer Price Index is the price level variable",29.7848304591107
"GDP deflator","GDP deflator is the price level variable",16.5498737930913
"Core","Core price index is the price level variable",2.29820133090922
"WPI","Wholesale Price Index is the price level variable",0.859619084602757
"Overnight rate","Short-term rates (including money market and policy rates)",47.2587732719684
"Lending rate","Weekly to monthly lending and bond rates",34.0085927267831
"Year rate","Yearly to longer-term rates",18.7326340012485
"Annual frequency","Estimates based on annual frequency data",0.809087236985446
"Quarterly frequency","Estimates based on quarterly frequency data",63.8970831242273
"Monthly frequency","Estimates based on monthly frequency data",35.2938296387872
"Panel data","Panel data used",11.6344541415229
"Time series","Time series data used ",88.3655458584771
