Category,Variable,Description,Type,Entries,json,source,Coding_instruction
general,key,Primary key of the study.,string,"e.g. ""2LWMVPV7""",TRUE,zotero,NA
general,rid1,Researcher ID of the first screener.,factor,"e.g. ""me"", ""sg"", ""fp"", ""ph"", ""dr""",TRUE,researcher,NA
general,rid2,Researcher ID of the second screener (in case of double checking).,factor,"e.g. ""me"", ""sg"", ""fp"", ""ph"", ""dr""",TRUE,researcher,NA
general,study_notes,General notes on the study that are relevant for all models within the study.,string,See coding_instruction,TRUE,researcher,https://github.com/META-CMP/data/issues/9
general,model_notes,Model specific notes that are relevant only for a given model within the study.,string,See coding_instruction,TRUE,researcher,https://github.com/META-CMP/data/issues/67
general,figure,Indicates the number of the figure from which the impulse response is taken,string,See coding_instruction,TRUE,study,https://github.com/META-CMP/data/issues/46
general,page,Indicates the page on which the impulse response (figure or table) is displayed.,numeric,See coding_instruction,TRUE,study,https://github.com/META-CMP/data/issues/97
general,irf,Indicates if there is a graphical representation of the irfs in the study.,logical,true; false,TRUE,study,https://github.com/META-CMP/data/issues/71
general,cum,Indicates if the impulse response function represents cumulated effects.,logical,true; false,TRUE,study/screener,https://github.com/META-CMP/data/issues/72
impulse_and_response_variables,inttype,Type of short term interest rate variable which is shocked.,factor,See coding_instruction,TRUE,study,https://github.com/META-CMP/data/issues/6
impulse_and_response_variables,size,Shock size in basis points or percent.,factor,See coding_instruction,TRUE,study,https://github.com/META-CMP/data/issues/52
impulse_and_response_variables,axis_trans,Note if the axis scale needs to be transformed to be a percentage scale.,string,See coding_instruction,TRUE,study/screener,https://github.com/META-CMP/data/issues/62
impulse_and_response_variables,dep,Dependent (outcome) variable codes.,factor,See coding_instruction,TRUE,study,https://github.com/META-CMP/data/issues/10
impulse_and_response_variables,conf,Level of the confidence bounds or standard errors.,factor,See coding_instruction,TRUE,study,https://github.com/META-CMP/data/issues/98
impulse_and_response_variables,main,The outcome variable representing the main research interest of the study.,factor,gdp  emp  inflation  other,TRUE,study,https://github.com/META-CMP/data/issues/17
impulse_and_response_variables,prefer,Indicates if the effect estimate based on the model specification is preferred in the study.,logical,true; false,TRUE,study/screener,https://github.com/META-CMP/data/issues/87
identification_strategy,iv,Indicates if an instrumental variable approch is used for identification.,logical,true; false,TRUE,study,https://github.com/META-CMP/data/issues/99
identification_strategy,forecast_based,Indicates whether a forecast-based strategy is used for shock identification.,logical,true; false,TRUE,study,https://github.com/META-CMP/data/issues/41
identification_strategy,nr,Indicates if a narrative strategy based on narrative records or sentiments of central bank statements is used for shock identification.,logical,true; false,TRUE,study,https://github.com/META-CMP/data/issues/41
identification_strategy,event,Indicates if an event study or a similar direct measurement of the monetary policy shock is used for shock identification.,logical,true; false,TRUE,study,https://github.com/META-CMP/data/issues/100
identification_strategy,chol,"Indicates if a recursive (""Cholesky"") ordering is used for shock identification.",logical,true; false,TRUE,study,https://github.com/META-CMP/data/issues/101
identification_strategy,svar,Indicates if a non-recursive structural VAR approach is used for shock identification (no Cholesky).,logical,true; false,TRUE,study,https://github.com/META-CMP/data/issues/102
identification_strategy,signr,Indicates if a sign restriction approach is used for shock identification.,logical,true; false,TRUE,study,https://github.com/META-CMP/data/issues/86
identification_strategy,hf,Indicates if a high frequency approach is used for shock identification.,logical,true; false,TRUE,study,https://github.com/META-CMP/data/issues/103
identification_strategy,heteroskedas,Indicates if a heteroskedasticity-based approach is used for shock identification.,logical,true; false,TRUE,study,https://github.com/META-CMP/data/issues/78
identification_strategy,longrun,Indicates if shock identification is based on long-run restrictions.,logical,true; false,TRUE,study,https://github.com/META-CMP/data/issues/104
identification_strategy,idother,Indicates if the identification strategy does not correspond to one of the other variables in identification_strategy.,logical,true; false,TRUE,study,https://github.com/META-CMP/data/issues/69
estimation_method,var,Indicates if a vector autoregression model (VAR) is used for estimation.,logical,true; false,TRUE,study,https://github.com/META-CMP/data/issues/105
estimation_method,lp,Indicates if a local projections method is used for estimation.,logical,true; false,TRUE,study,https://github.com/META-CMP/data/issues/106
estimation_method,vecm,Indicates if a vector error correction model is used for estimation.,logical,true; false,TRUE,study,https://github.com/META-CMP/data/issues/107
