"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"J8XGXULD","journalArticle","1991","Andrews, Donald W.K.","Heteroskedasticity and Autocorrelation Consistent Covariance Matrix Estimation","Econometrica","","","10.2307/2938229","","This paper is concerned with the estimation of covariance matrices in the presence of heteroskedasticity and autocorrelation of unknown forms. Currently available estimators that are designed for this context depend upon the choice of a lag truncation parameter and a weighting scheme. Results in the literature provide a condition on the growth rate of the lag truncation parameter as T \rightarrow \infty that is sufficient for consistency. No results are available, however, regarding the choice of lag truncation parameter for a fixed sample size, regarding data-dependent automatic lag truncation parameters, or regarding the choice of weighting scheme. In consequence, available estimators are not entirely operational and the relative merits of the estimators are unknown. This paper addresses these problems. The asymptotic truncated mean squared errors of estimators in a given class are determined and compared. Asymptotically optimal kernel/weighting scheme and bandwidth/lag truncation parameters are obtained using an asymptotic truncated mean squared error criterion. Using these results, data-dependent automatic bandwidth/lag truncation parameters are introduced. The finite sample properties of the estimators are analyzed via Monte Carlo simulation.","1991","2023-11-28 15:51:32","2023-11-28 15:51:32","","817-858","","3","59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"255WBTB8","journalArticle","2000","Dungey, Mardi; Pagan, Adrian","A Structural VAR Model of the Australian Economy","Economic Record","","","10.1111/j.1475-4932.2000.tb00030.x","","We develop an 11-variable structural VAR for the Australian economy over the period 1980 to 1998. The VAR methodology has only relatively recently been applied in the Australian context, despite its popularity in quantitative macroeconomics internationally. Our model includes an overseas sector which distinguishes between goods and asset markets so as to disentangle the effects of shocks emanating from each source. We utilize our model to dissect the Australian growth cycle into its separate influences and to study the Asian crisis. Throughout there is a strong emphasis upon identifying the impact of monetary policy.","2000","2023-11-28 15:51:32","2023-11-28 15:51:32","","321-342","","235","76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RVBRB8ZY","journalArticle","2020","Eika, Lasse; Mogstad, Magne; Vestad, Ola Lotherington","What can we learn about household consumption expenditure from data on income and assets","Journal of Public Economics","","","10.1016/j.jpubeco.2020.104163","","Abstract A major difficulty faced by researchers who want to study the consumption and savings behavior of households is the lack of reliable panel data on household expenditures. One possibility is to use surveys that follow the same households over time, but such data are rare and they typically have small sample sizes and face significant measurement issues. An alternative approach is to use the accounting identity that total household spending is equal to income plus capital gains minus the change in wealth over the period. The goal of this paper is to examine the advantages and difficulties of using this accounting identity to construct a population panel data with information on household expenditure. To derive such measures of consumption expenditure, we combine several data sources from Norway over the period 1994–2014. This allows us to link tax records on income and wealth to other administrative data with information on financial and real estate transactions. Using this data, we derive household expenditure from the accounting identity, before assessing the sensitivity of this measure of consumption expenditure to the assumptions made and the data used. We then compare our measures of household expenditure to those reported in expenditure surveys and to the aggregates from national accounts. We also illustrate the research opportunities arising from the derived measures of consumption expenditure through two applications: the first is an examination of how relative wage movements among birth cohorts and education groups affected the distribution of household expenditure, while the second is a study of the transmission of income shocks to household consumption.","2020","2023-11-28 15:51:32","2023-11-28 15:51:32","","104163-NA","","NA","189","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E6UUVNH2","journalArticle","2017","Aladangady, Aditya","Housing Wealth and Consumption: Evidence from Geographically-Linked Microdata","American Economic Review","","","10.1257/aer.20150491","","Rising home values also raise the cost of living, offsetting their impact on consumption. However, additional home equity collateral can loosen borrowing constraints, increasing spending for households that value their current endowment of housing highly. I use geographically linked microdata to exploit regional heterogeneity in housing markets and identify the causal effect of house price fluctuations on consumer spending. A $1 increase in home values leads to a $0.047 increase in spending for homeowners, but a negligible response for renters. Results reflect large responses among credit constrained households, suggesting looser borrowing constraints are a primary driver of the MPC out of housing wealth.","2017","2023-11-28 15:51:33","2023-11-28 15:51:33","","3415-3446","","11","107","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SYZPRXMH","journalArticle","2001","Orphanides, Athanasios","Monetary Policy Rules Based on Real-Time Data","American Economic Review","","","10.1257/aer.91.4.964","","In recent years, simple policy rules have received attention as a means to a more transparent and effective monetary policy. Often, however, the analysis is based on unrealistic assumptions about the timeliness of data availability. This permits rule specifications that are not operational and ignore difficulties associated with data revisions. This paper examines the magnitude of these informational problems using Taylor's rule as an example. I demonstrate that the real-time policy recommendations differ considerably from those obtained with the ex post revised data and are revised substantially even a year after the relevant quarter. Further, I show that estimated policy reaction functions obtained using the ex post revised data can yield misleading descriptions of historical policy. Using Federal Reserve staff forecasts I show that in the 1987-1992 period simple forward-looking specifications describe policy better than comparable Taylor-type specifications, a fact that is largely obscured when the analysis is based on the ex post revised data.","2001","2023-11-28 15:51:33","2023-11-28 15:51:33","","964-985","","4","91","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UPBDWZFY","journalArticle","2003","Rigobon, Roberto; Sack, Brian P.","Measuring The Reaction of Monetary Policy to the Stock Market","The Quarterly Journal of Economics","","","10.1162/003355303321675473","","Movements in the stock market can have a significant impact on the macroeconomy and are therefore likely to be an important factor in the determination of monetary policy. However, little is known about the magnitude of the Federal Reserve's reaction to the stock market. One reason is that it is difficult to estimate the policy reaction because of the simultaneous response of equity prices to interest rate changes. This paper uses an identification technique based on the heteroskedasticity of stock market returns to identify the reaction of monetary policy to the stock market. The results indicate that monetary policy reacts significantly to stock market movements, with a 5% rise (fall) in the S&P 500 index increasing the likelihood of a 25 basis point tightening (easing) by about a half. This reaction is roughly of the magnitude that would be expected from estimates of the impact of stock market movements on aggregate demand. Thus, it appears that the Federal Reserve systematically responds to stock price movements only to the extent warranted by their impact on the macroeconomy.","2003","2023-11-28 15:51:33","2023-11-28 15:51:33","","639-669","","2","118","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RXNGBUU4","journalArticle","1999","Christiano, Lawrence J.; Eichenbaum, Martin; Evans, Charles L.","Chapter 2 Monetary policy shocks: What have we learned and to what end?","Handbook of Macroeconomics","","","10.1016/s1574-0048(99)01005-8","","NA","1999","2023-11-28 15:51:33","2023-11-28 15:51:33","","65-148","","NA","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NY86W5QA","journalArticle","2019","Zhou, Xiaoqing","Refining the workhorse oil market model","Journal of Applied Econometrics","","","10.1002/jae.2743","","The Kilian and Murphy (Journal of Applied Econometrics, 2014, 29, 454–478) structural vector autoregressive model has become the workhorse model for the analysis of oil markets. I explore various refinements and extensions of this model, including the effects of (1) correcting an error in the measure of global real economic activity, (2) explicitly incorporating narrative sign restrictions into the estimation, (3) relaxing the upper bound on the impact price elasticity of oil supply, (4) evaluating the implied posterior distribution of the structural models, and (5) extending the sample. I demonstrate that the substantive conclusions of Kilian and Murphy (2014) are largely unaffected by these changes.","2019","2023-11-28 15:51:33","2023-11-28 15:51:33","","130-140","","1","35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CDXMY2VH","journalArticle","2019","Krippner, Leo","A Note of Caution on Shadow Rate Estimates","Journal of Money, Credit and Banking","","","10.1111/jmcb.12613","","Shadow short rate (SSR) estimates are generated regressors proposed as a proxy for policy interest rates during unconventional monetary policy (UMP) periods. However, using the Wu and Xia (2016) shadow/lower‐bound model, I show that SSR estimates can be sensitive to minor choices in their estimation. Used subsequently in a small macroeconomic model, those sensitivities lead to wide variations in the inferred effects of UMP on inflation and unemployment outcomes. Therefore, it should not be presumed that any SSR series will necessarily be quantitatively useful. Vetting SSR series allows appropriate SSR series to be retained within the suite of UMP indicators.","2019","2023-11-28 15:51:33","2023-11-28 15:51:33","","951-962","","4","52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AW6NQTYM","journalArticle","2012","Coibion, Olivier","Are the Effects of Monetary Policy Shocks Big or Small","American Economic Journal: Macroeconomics","","","10.1257/mac.4.2.1","","This paper studies the small estimated effects of monetary policy shocks from standard VAR's versus the large effects from the Romer and Romer (2004) approach. The differences are driven by three factors: the different contractionary impetus, the period of reserves targeting and lag length selection. Accounting for these factors, the real effects of policy shocks are consistent across approaches and most likely medium. Alternative monetary policy shock measures from estimated Taylor rules also yield medium-sized real effects and indicate that the historical contribution of monetary policy shocks to real fluctuations has been significant, particularly during the 1970s and early 1980s.","2012","2023-11-28 15:51:33","2023-11-28 15:51:33","","1-32","","2","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
