record_id,label,key,item type,publication year,author,title,publication title,isbn,issn,doi,url,abstract note,date,date added,date modified,access date,pages,num pages,issue,volume,number of volumes,journal abbreviation,short title,series,series number,series text,series title,publisher,place,language,rights,type,archive,archive location,library catalog,call number,extra,notes,file attachments,link attachments,manual tags,automatic tags,editor,series editor,translator,contributor,attorney agent,book author,cast member,commenter,composer,cosponsor,counsel,interviewer,producer,recipient,reviewed author,scriptwriter,words by,guest,number,edition,running time,scale,medium,artwork size,filing date,application number,assignee,issuing authority,country,meeting name,conference name,court,references,reporter,legal status,priority numbers,programming language,version,system,code,code number,section,session,committee,history,legislative body,matches,included,exported_notes_1,asreview_ranking
0,ref_09999,4Z4NIU97,journalArticle,2007.0,"Ferreira de Mendonça, Helder; Simão Filho, José",Economic transparency and effectiveness of monetary policy,Journal of Economic Studies,,0144-3585,10.1108/01443580710830961,https://doi.org/10.1108/01443580710830961,"Purpose – The purpose of this paper is to study if the central bank (BC) communications affect the effectiveness of the monetary policy. Design/methodology/approach – For this analysis, a new Keynesian theoretical model and the ordinary least squared methodology were used. The objective to be achieved was to determine if there is some effect of economic transparency on accountability, inflation average, output gap, interest and central bank credibility. Findings – The results highlighted that central banks with greater transparency contribute to decrease inflation rate and interest rate. The findings denote that an increase in the information quality (clarity) implies a significant change in the rate of readjustment of market expectations. Furthermore, central bank transparency contributes to anchor the public expectations and to affect long‐run interest rates. Research limitations/implications – Impulse‐answer research was employed to show how the central bank transparency affects the credibility of monetary authorities. Practical implications – This paper suggests that the central bank publicizes its outlook, its policy monetary decisions, its expectations and its preferences. Originality/value – The originality of the paper resides in the fact that empirical and theoretical studies were made in the single work. Also, new results were found denoting that economic transparency reduces uncertainty effect and increases the power of incentive contract made between the BC and public.",2007-01-01,2023-03-16 15:45:14,2023-03-16 15:45:14,1678378390.0,497-514,,6,34,,,,,,,,,,,,,,,Emerald Insight,,,,,,Interest rates; Monetary policy; Inflation; Economic performance; Generation and dissemination of information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9523,1,,1
1,ref_09582,DGIKDQKK,webpage,2007.0,"Mishkin, Frederic S.; Schmidt-Hebbel, Klaus",Monetary policy under inflation targeting,Repositorio Digital Banco Central,,,,http://repositoriodigital.bcentral.cl/xmlui/handle/20.500.12580/1644,"Inflation targeting cum exchange-rate floating has become the framework of choice in countries pursuing an independent and effective monetary policy. Since its adoption by New Zealand (1990) and Chile (1991), central banks of nearly 25 industrial and emerging economies have implemented an explicit inflation target as their nominal anchor. Many more emerging economies are planning to adopt inflation targeting in coming years. The theory and practice of monetary policy under inflation targeting have evolved hand-in­-hand, benefiting mutually. This volume presents 14 papers that add substantially to the body of theoretical findings, empirical research, and policy lessons on the conduct of monetary policy under inflation targeting. New theoretical work focuses on the optimality of inflation targeting under different fiscal policies and varying degrees of price stickiness, and considering the zero-bound problem. Other analytical research addresses improvements in central bank communication required to raise monetary policy efficiency and analyzes the optimal degree of monetary policy transparency and communication. New findings are provided on the choice between inflation and price-level targeting. This book also presents a large body of new empirical evidence on the role of the exchange rate, pre-conditions at the start of the regime, gains in macro performance and monetary policy efficiency, and anchoring of inflation expectations in inflation-targeting countries, in comparison to non-targeting countries. The transition from partial to full-fledged inflation targeting in Chile receives particular attention, reporting changes in monetary policy rules and in inflation determinants and dynamics.",2007,2023-03-16 15:44:01,2023-03-16 15:44:01,1678314262.0,,,,,,,,,,,,,,eng,,Libro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9118,1,,2
2,ref_08017,3DKV8KS3,journalArticle,2017.0,"Adalı, Zafer; Bari, Bilgin",Monetary Policy And Bank Lending Chanel in Turkey,International Journal of Finance & Banking Studies (2147-4486),,2147-4486,,https://ssbfnet.com/ojs/index.php/ijfbs/article/view/29,"The main purpose of this study is to evaluate whether the bank lending channel exist or not. Within this context, quarterly data of for the periods between 2002q1 and 2016q4 was taken into the consideration. Additionally, VAR model was used to reach the objective. According to the result of impulse response function, it was reached that producer price index, real exchange rate and policy rate are effective determinants. Additionally, banks balance sheet has important and positive influence on total credits but industrial production index is regarded as partially effective. While considering this result, it was also found that both bank balance and macroeconomic variables used in this study is the main determinants of bank total credit.",2017-04-15,2023-03-16 15:37:54,2023-03-16 15:37:54,1678203248.0,22-36,,2,6,,,,,,,,,,en,,,,,ssbfnet.com,,,,,,VAR; Bank Credits; Bank Lending Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7603,1,,3
3,ref_09559,JNY7XNZD,journalArticle,2023.0,"Holm-Hadulla, Fédéric; Mazelis, Falk; Rast, Sebastian",Bank and non-bank balance sheet responses to monetary policy shocks,Economics Letters,,0165-1765,10.1016/j.econlet.2022.110918,https://www.sciencedirect.com/science/article/pii/S0165176522003925,"We provide evidence on how banks and non-bank financial intermediaries differ in their response to monetary policy. Our findings are based on a standard empirical macro model for the euro area, augmented with balance sheet data for banks and investment funds. The model is estimated via local projections, using high-frequency methods to identify different types of monetary policy shocks. Short-rate shocks lead to a significant balance sheet response of banks and investment funds, with a slightly swifter and more persistent reaction of banks. Long-rate shocks instead exert only short-lived effects on bank balance sheets, whereas investment fund balance sheets exhibit a stronger and more persistent response. The relative role of different types of financial intermediaries hence emerges as a relevant factor in shaping the transmission process for conventional and non-standard monetary policy measures.",2023-01-01,2023-03-16 15:43:49,2023-03-16 15:43:49,1678313642.0,110918,,,222,,Economics Letters,,,,,,,,en,,,,,ScienceDirect,,,,,,Monetary policy; Euro area; High-frequency identification; Non-bank finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9096,1,,4
4,ref_00944,77XXK7RL,journalArticle,2000.0,"Kakes, Jan; Pattanaik, Sitikantha",The Transmission of Monetary Shocks in the Euro Area: A VAR Analysis Based on Euro-Wide Data,Banca Nazionale del Lavoro Quarterly Review,,00054607,,https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=0540038&site=ehost-live,"Using area-wide data, we simulate the responses of inflation and real output following monetary shocks in the EMU. We find that short-term interest rate shocks have a significant impact on real activity, but hardly on prices. M3 shows a perverse short-term response to a monetary contraction, which should be taken into account when interpreting the reference value of money growth (the ""first pillar"" of the Eurosystem's monetary strategy). Shocks to the effective exchange rate have a rapid impact on prices, money growth and real activity. As the exchange rate itself is hardly affected by monetary policy shocks, though, there is little scope for an exchange rate policy. Rather, these findings underscore the important role that the exchange rate should play as an information variable within the ""second pillar"" of the monetary strategy.",2000-06,2023-02-13 13:34:51,2023-02-13 13:34:51,,171-186,,213,53,,Banca Nazionale del Lavoro Quarterly Review,,,,,,,,,,,eoh,,EBSCOhost,,,,,,Monetary Policy E52; Financial Aspects of Economic Integration F36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,922,1,,5
5,ref_01009,JBIV8TBU,journalArticle,2003.0,"Islam, Mazhar M.; Al-Raisi, Amal",Money and Credit in the Monetary Transmission Mechanism in Oman: Evidence from Cointegration and Vector Autoregressive Models,International Journal of Applied Business and Economic Research,,09727302,,https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=0681546&site=ehost-live,"The traditional view of the monetary transmission mechanism slates that monetary policy influences output through interest rates. In an alternative view, monetary policy may also affect output through the credit channel. This article examines these views by applying the cointegration and VAR models of lite Omani economy Impulse response function is used to examine the impact of the monetary policy shocks to real output. We have also applied the unit root tests to check the stationarity of each variables. Empirical results suggest that both interest rate and credit channels have important effects. Although it is expected that the credit channel would probably be the most powerful mechanism but the statistical results show that tine interest rate is the powerful channel. Following reasons could be attributed to this. First, the Central Bank strictly controls the volume as well as the rates on credit and deposits. Second, commercial banks mainly rely on long term deposits and interbank borrowing to finance credit, and not the Central Bank's discount window. Third, the security market is not well developed, and firms heavily depend on credit from banks to fund their projects. Fourth, the fixed interest rate does not cause problems, for firms while the Central Bank's quantitative restrictions in the credit might have effects on borrowings. Fifth, the household's liquidity is supposed to have a strong impact due to large volume of consumption credit and loan. Our study also shows that in the long-run, major structural change in Omani economy might lead to changes in the transmission mechanism. Significant steps in this direction will be a floating exchange rate, less dependency on oil revenue and a developed stock market.",2003-06,2023-02-13 13:34:53,2023-02-13 13:34:53,,47-72,,1,1,,International Journal of Applied Business and Economic Research,,,,,,,,,,,eoh,,EBSCOhost,,,,,,Macroeconomics: Production E23; Monetary Policy E52; Credit; Money Multipliers E51; Money Supply; Macroeconomic Analyses of Economic Development O11; Fiscal and Monetary Policy in Development O23; Central Banks and Their Policies E58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,983,1,,6
6,ref_07063,68K8SQ4U,journalArticle,2016.0,"Milcheva, Stanimira; Sebastian, Steffen",The housing market channel of monetary policy transmission in the Euro area,Journal of European Real Estate Research,,1753-9269,10.1108/JERER-02-2015-0009,https://doi.org/10.1108/JERER-02-2015-0009,"Purpose The purpose of this paper is to explore the role of the housing market in the monetary policy transmission to consumption among euro area member states. It has been argued that the housing market in one country is then important when its mortgage market is well developed. The countries in the euro area follow unitary monetary policy; however, their housing and mortgage markets show some heterogeneity, which may lead to different policy effects on aggregate consumption through the housing market. Design/methodology/approach The housing market can act as a channel of monetary policy shocks to household consumption through changes in house prices and residential investment – the housing market channel. The authors estimate vector autoregressive models for each country and conduct a counterfactual analysis to disentangle the housing market channel and assess its importance across the euro area member states. Findings The authors find little evidence for heterogeneity of the monetary policy transmission through house prices across the euro area countries. Housing market variations in the euro area seem to be better captured by changes in residential investment rather than by changes in house prices. As a result, the authors do not find significantly large house price channels. For some of the countries however, they observe a monetary policy channel through residential investment. The existence of a housing channel may depend on institutional features of both the labour market or with institutional factors capturing the degree of household debt as is the loan-to-value ratio. Originality/value The study contributes to the existing literature by assessing whether a unitary monetary policy has a different impact on consumption across the euro area countries through their housing and mortgage markets. The authors disentangle monetary-policy-induced effects on consumption associated with variations on the housing markets due to either house price variations or residential investment changes. The authors show that the housing market can play a role in the monetary transmission mechanism even in countries with less developed mortgage markets through variations in residential investment.",2016-01-01,2023-03-16 15:34:00,2023-03-16 15:34:00,1677110400.0,76-97,,1,9,,,,,,,,,,,,,,,Emerald Insight,,,,,,Monetary transmission mechanism; Consumption; Counterfactual simulation; Housing markets; Mortgage markets; Residential investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6666,1,,7
7,ref_03602,MNUZ585T,journalArticle,2017.0,"Nocera, Andrea; Roma, Moreno",House prices and monetary policy in the euro area: evidence from structural VARs,,,,,https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=1651728&site=ehost-live,"We use a Bayesian stochastic search variable selection structural VAR model to investigate the heterogeneous impact of housing demand shocks on the macroeconomy and the role of house prices in the monetary policy transmission, across euro area countries. A novel set of identification restrictions, which combines zero and sign restrictions, is proposed. By exploiting the cross-sectional dimension of our data, we explore the differences in the propagation channels of house prices and monetary policy and the challenges they pose in the process of real and nominal convergence in the Eurozone. Among the main results, we find a comparatively stronger housing wealth effect on consumption in Ireland and Spain. We provide new evidence in support of the financial accelerator hypothesis, showing that house prices play an important role in the availability of loans. A significant and highly heterogeneous effect of monetary policy on house price dynamics is also documented.",2017,2023-02-13 13:36:39,2023-02-13 13:36:39,,,,,,,,,,,,,,,,,,eoh,Availability Note: Information provided in collaboration with the RePEc Project: http://repec.org,EBSCOhost,,,,,,Inflation; Deflation E31; Monetary Policy E52; Price Level; Dynamic Quantile Regressions; Dynamic Treatment Effect Models; Macroeconomics: Consumption; Saving; Wealth E21; Financial Markets and the Macroeconomy E44; Diffusion Processes C22; Single Equation Models; Single Variables: Time-Series Models,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3477,1,,8
8,ref_02309,3PUL8MD5,thesis,2021.0,"Lin, Yiming","Essays on Regional Housing Markets, the Real Economy, and Policy",,,,,https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=1935928&site=ehost-live,"This dissertation studies regional housing markets and different economic policies in China and the US. Structural panel VAR-Xs with time-varying parameters (TVPs) and time-varying volatility (TVV) are employed in the two essays in this dissertation. Both essays explore the role housing markets play in generating movements in real and financial activity in regional economies of China and the US. The essays differ by the policy interventions that are analyzed. The first essay explores the impact of macro-prudential policy interventions on seven regional economies and housing markets in China. Surprise monetary policy inventions by the Federal Reserve are evaluated in the second essay for the effects on eight regional economies and housing markets in the US. The first essay makes three contributions to the study of regional Chinese housing markets. First, I construct a new monthly sample of regional real GDPs, real loans, and real house prices for China from February 2005 to March 2013. Two pre-determined national macro-prudential policy indexes are included in the sample. Second, a structural panel VAR-X with TVPs and TVV is estimated on this sample using Bayesian methods. Third, my results show regional house prices respond more to housing demand shocks of the coastal regions than to the shocks of the interior regions. Housing demand shocks also lower real GDPs and loans across the regions of China. Regional house prices display smaller responses to regional housing demand shocks during the 2007-2009 financial crisis compared with the rest of the sample.Macro-prudential policies have a larger impact on regional Chinese house prices than on regional real GDPs and loans. Macro-prudential policies in China appear to be more effective from 2011 to 2013 than during the 2007-2009 financial crisis. The second essay employs similar econometric tools, but applies these methods to study the transmission mechanism that disturbances in the real, financial, and housing sectors have on fluctuations in eight economic regions of the US. A structural panel VAR-X with TVPs and TVV is estimated on regional real personal income, real personal consumption expenditures, real loans, and real house prices across eight regions of the US from 1998Q2 to 2019Q3. I proxy for monetary policy interventions with high-frequency changes to the three-month ahead Fed Funds future. Bayesian methods developed by Canova & Ciccarelli (2009, ""Estimating multicountry VAR models,"" International Economic Review, 50, 929-959) are employed to construct the posterior of the panel VAR-X. The posterior contains evidence that the transmission of shocks across the real activity, financial, and housing sectors differ across the US. A signal of the disparate transmission of shocks is the significant house price spillovers produced by housing demand shocks of the core regions onto the interior regions of the US. Moreover, the housing demand shocks of the New England region contribute most to movements in the house prices of the other US regions. Two sets of counterfactual analyses show the responses of regional house price growth to unanticipated monetary policy interventions differ across the sample.",2021-06,2023-02-13 13:35:45,2023-02-13 13:35:45,,,,,,,,,,,,,North Carolina State University,,,,,eoh,,EBSCOhost,,,,,,"Macroeconomics: Production E23; Monetary Policy E52; Housing Supply and Markets R31; Economic Development: Urban, Rural, Regional, and Transportation Analysis; Housing; Infrastructure O18; Socialist Systems and Transitional Economies: Urban, Rural, and Regional Economics P25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2224,1,,9
9,ref_09294,ETM58Y9V,journalArticle,2013.0,"Berlemann, Michael; Freese, Julia",Monetary policy and real estate prices: a disaggregated analysis for Switzerland,International Economics and Economic Policy,,1612-4812,10.1007/s10368-012-0222-7,https://doi.org/10.1007/s10368-012-0222-7,Most empirical studies found that monetary policy has a significant effect on house prices while stock markets remain unaffected by interest rate shocks. In this paper we conduct a more detailed analysis by studying various sub-segments of the real estate market. Employing a new dataset for Switzerland we estimate vector autoregressive models and find positive interest rate shocks to have adverse effects on house and condominium prices on the one hand and rental prices on the other. Commercial property prices as stock markets do not react on interest rate variations.,2013-12-01,2023-03-16 15:42:51,2023-03-16 15:42:51,1678309330.0,469-490,,4,10,,Int Econ Econ Policy,Monetary policy and real estate prices,,,,,,,en,,,,,Springer Link,,,,,,E52; Monetary policy; E43; R21; Stock market; Interest rate shocks; Real estate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8838,1,,10
