"label","id","record_id","key","author","title","publication year","publication title","issue","volume","item type","abstract note","doi","url","bibtexkey","most_recent_version_available","not_available","retracted","duplicate","pdf_source","access_date","personal_id","master_bachelor_thesis","notes_pdf_download","matches"
"ref_0001","1",7193,"IAFWL5F9","Imoisi, Anthony Ilegbinosa","Does Monetary Policy Induce Economic Growth? An Empirical Evaluation of the Nigerian Economy",2019,"SRIWIJAYA INTERNATIONAL JOURNAL OF DYNAMIC ECONOMICS AND BUSINESS","4","2","journalArticle","Monetary and Fiscal policies are instruments which the government of any nation can employ to effectively achieve the desired growth of their respective economies. This study investigates the extent to which monetary policies can promote economic growth in Nigeria from 1980-2017. Secondary data were used from the Statistical Bulletin of the apex bank in Nigeria (CBN) and National Bureau of Statistics. Unit root test, Johansen co-integration and the vector error correction model (VECM) were employed in analyzing the data collected for this study. The result showed that approximately 62% of GDP is explained by variables in the model while 38% is accounted for and explained by other variables not included in the model but are captured by the error term. In addition, monetary policies did not have a significant impact on Nigeria’s economic growth in the short run, but significantly affected the country’s growth in the long run.","10.29259/sijdeb.v2i4.331-346","https://sijdeb.unsri.ac.id/index.php/SIJDEB/article/view/101","Imoisi_2019_does",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"ref_0002","1",1571,"JTMX7YMR","Akram, Q. Farooq; Mumtaz, Haroon","Time-Varying Dynamics of the Norwegian Economy",2019,"Scandinavian Journal of Economics","1","121","journalArticle","We use time-varying parameter vector autoregressive models to investigate possible changes in the time-series properties of key Norwegian macroeconomic variables since the 1980s. Notably, we find that inflation persistence falls during the inflation targeting period, while the volatility of inflation and nominal exchange rates increases. The observed time-variation in the correlations between the interest rates and the macro variables largely reflects the prevailing monetary policy regimes. An increase in the correlations between oil prices and other macro variables over time is also documented. Using a counterfactual analysis, we discuss the observed time-varying dynamics of the Norwegian economy in the light of monetary policy and oil price shocks.",NA,"https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=1768532&site=ehost-live","Akram_2019_timevarying",NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ref_0003","1",6010,"TPZ5XTM5","Karras, Georgios","Sources of Macroeconomic Fluctuations in a Small Open Economy: The Case of Greece",1994,"Economia Internazionale","1","47","journalArticle","This paper uses the structural VAR approach to examine the importance of different types of shocks for the macroeconomic fluctuations in Greece. Monetary and aggregate demand shocks are found to dominate output variability in the short-run, and aggregate supply shocks in the long-run. Monetary expansions have positive effects on output initially, but they reduce output in the long-run. The same is true for positive shocks to the exchange rate (depreciations of the drachma). Unfavorable supply shocks, higher money growth, and depreciations also contribute to inflation. Fiscal expansions put significant pressure on the money supply but have negligible effects on the other variables. This, however, shows a conflict between fiscal and monetary policies.",NA,"https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=0344366&site=ehost-live","Karras_1994_sources",NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"ref_0004","1",6460,"REW28J46","Balogun, Nazeerah","Empirical analysis of the impact of monetary policy in the Euro Area: How do monetary policy shocks affect financial markets and economic activity in the Euro Area?",2020,NA,NA,NA,"thesis","This  paper  studies  the  effects  of  monetary  policy  in  the  aggregate  Euro  Area.  Contrary  to traditional money shock analysis, this paper uses a vector autoregressive model and estimates the structural shocks through an external instrument identification approach, employing high-frequency  financial  data  as  instrument.  The  model  inhibits  economic  as  well  as  financial variables and uses the movement of Eurozone overnight index swaps around monetary policy meetings  as  proxy  for   unexpected  monetary  policy  shocks. The  results  show,  that   a contractionary  monetary  policy  shock  behaves  contrary  to  theory,  indicating  a  bias  in  high-frequency identification.Apart from theapplication ofhigh-frequency identification,this paper contributes to the literature by using Python for the estimation and identification of the model.",NA,"https://run.unl.pt/handle/10362/104204","Balogun_2020_empirical",NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"ref_0005","1",689,"DYK49W4X","Dib, Ali","Monetary Policy in Estimated Models of Small Open and Closed Economies",2011,"Open Economies Review","Query date: 2023-02-09 13:16:09","22","journalArticle","This paper compares monetary policy effects in New-Keynesian models of small open and closed economies fit to Canada. A monetary policy rule allows the central bank to systematically manage the nominal interest rate in response to inflation, output, and money growth variations. The structural parameters of a small open-economy (SOE) and a closed-economy (CE) models are estimated using a maximum-likelihood procedure with a Kalman filter. Estimation results show that the SOE and CE models lead to qualitatively similar estimates for the Canadian economy. Also, the effects of monetary policy shocks, and of other domestic shocks, generated in the SOE model resemble to those generated in the CE model. In addition, the forecast-error decomposition shows that foreign shocks account for small fractions of the variability observed in Canadian macroeconomic variables.","10.1007/s11079-010-9173-1","https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=1283212&site=ehost-live","Dib_2011_monetary",NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"ref_0006","1",9945,"7CGTBLUC","Neri, Stefano","Monetary policy and stock prices: theory and evidence",2004,"Temi di discussione del Servizio Studi",NA,NA,"journalArticle","The objective of this paper is to evaluate the effects of monetary policy shocks on stock market indices in the G-7 countries and Spain using the methodology of structural VARs. A model is estimated for each country and the effects of monetary policy shocks are evaluated by means of impulse responses. A contractionary shock has a negative and temporary effect on stock market indices. There is evidence of a significant cross-country heterogeneity in the persistence, magnitude and timing of the responses. A limited participation model with households trading in stocks is set up and the responses of stock prices to a monetary policy shock under different rules are evaluated. The model is able to account for the empirical response of stock prices to monetary policy shocks under different policy rules.",NA,NA,"Neri_2004_monetary",NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"ref_0007","1",825,"BXRNZWTJ","Corsetti, Giancarlo; Duarte, Joao B.; Mann, Samuel","One Money, Many Markets--A Factor Model Approach to Monetary Policy in the Euro Area with High-Frequency Identification",2018,NA,NA,NA,"journalArticle","We reconsider the effects of common monetary policy shocks across countries in the euro area, using a data-rich factor model and identifying shocks with high-frequency surprises around policy announcements. We show that the degree of heterogeneity in the response to shocks, while being low in financial variables and output, is significant in consumption, consumer prices and macro variables related to the labour and housing markets. Mirroring country-specific institutional and market differences, we find that home ownership rates are significantly correlated with the strength of the housing channel in monetary policy transmission. We document a high dispersion in the response to shocks of house prices and rents and show that, similar to responses in the US, these variables tend to move in different directions.",NA,"https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=1709167&site=ehost-live","Corsetti_2018_one",NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"ref_0008","1",9130,"4NQR6B86","Nickel, Christiane; Bobeica, Elena; Lis, Eliza; Sun, Yiqiao","Demographics and inflation",2017,"Working Paper Series",NA,NA,"journalArticle","Most euro area countries have entered an unprecedented ageing process: life expectancy continues to rise and fertility rates have declined, while retirement age in the last twenty to thirty years hardly increased. This implies an ever smaller fraction of the working age population in total population, leading to changes in consumption and saving behaviours and having an important impact on the macroeconomy. In this paper we focus on the relationship between demographic change and inflation. We find that based on a cointegrated VAR model there is a positive long-run relationship between inflation and the growth rate of working-age population as a share in total population in the euro area countries as a whole, but also in the US and Germany. We also find that this relation is mitigated by the effect of monetary policy, which we account for by including the short-term interest rate in our analysis. One caveat of the analysis could be that the empirical relationship as found does not sufficiently take into account changes in policy settings following the high inflation experiences in the 1970s. Our findings support the view that demographic trends are among the forces that shape the economic environment in which monetary policy operates. This is particularly relevant for countries, like many in Europe, that face an ageing process. JEL Classification: E31, J11, C22",NA,"https://ideas.repec.org//p/ecb/ecbwps/20172006.html","Nickel_2017_demographics",NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"ref_0009","1",608,"BWHKQVPU","Aruoba, Boragan; Drechsel, Thomas","Identifying Monetary Policy Shocks: A Natural Language Approach",2022,NA,NA,NA,"journalArticle","We propose a novel method to identify monetary policy shocks. By applying natural language processing techniques to documents that economists at the Federal Reserve Board prepare for Federal Open Market Committee meetings, we capture the information set available to the committee at the time of policy decisions. Using machine learning techniques, we then predict changes in the target interest rate conditional on this information set, and obtain a measure of monetary policy shocks as the residual. An appealing feature of our procedure is that only a small fraction of interest rate changes is attributed to exogenous shocks. We find that the dynamic responses of macroeconomic variables to our identified shock measure are consistent with the theoretical consensus. We also demonstrate that our estimated shocks are not contaminated by the ""Fed information effect.""",NA,"https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=1964413&site=ehost-live","Aruoba_2022_identifying",NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"ref_0010","1",9731,"73ASB2YH","Neri, Stefano; Nobili, Andrea","The Transmission of US Monetary Policy to the Euro Area*",2010,"International Finance","1","13","journalArticle","This paper studies how changes in the federal funds rate by the US Federal Reserve affect the eurozone economy. In our analysis, the international transmission mechanism works through movements in the exchange rate, commodity prices, short-term interest rates and the trade balance. We find that an increase in the federal funds rate causes the euro to immediately depreciate, while commodity, and in particular oil, prices decline sharply, reflecting a decline in demand. Lower commodity prices stimulate household consumption in the short run, and the higher aggregate demand induces an expansion of eurozone economic activity. Our results show that the effects of changes in the federal funds rate on commodity prices are greater than previously found in the literature. Our analysis also assesses the likely effects on the eurozone economy of the European Central Bank's (ECB's) own responses to macroeconomic developments. We find that the expansionary effect of lower commodity prices and a depreciated euro on the eurozone economy is partially offset by the ECB increasing short-term nominal interest rates to curb inflationary pressures in an expanding economy. This result highlights the importance of commodity prices and the euro–dollar exchange rate as inputs into European monetary policy-making, as seen, for example, in the Eurosystem staff macroeconomic projections used by the Governing Council to assess the risks to price stability.","10.1111/j.1468-2362.2010.01251.x","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1468-2362.2010.01251.x","Neri_2010_the",NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"ref_0011","1",678,"NMVMSUXW","Kronick, Jeremy; Ambler, Steve","Do Demographics Affect Monetary Policy Transmission in Canada?",2019,"International Journal of Finance and Economics","2","24","journalArticle","Using a panel of macroeconomic data for Canada and its 10 provinces, we estimate the dynamic effects of monetary policy shocks from the mid-1980s until the present. We then relate the change in the impact of these shocks to macroeconomic factors including demographics, specifically changes in the old age dependency ratio. We find that the inflation-targeting regime has had an ambiguous effect on the impact of monetary policy shocks in Canada. On the other hand, changing demographics have unambiguously reduced the impact of monetary policy shocks. This can help to explain tepid inflation since the financial crisis and could eventually undermine the effectiveness of Canada's inflation targeting regime.",NA,"https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=1818974&site=ehost-live","Kronick_2019_do",NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"ref_0012","1",10140,"36YHG5BV","Kim, Soyoung; Mehrotra, Aaron","Effects of Monetary and Macroprudential Policies—Evidence from Four Inflation Targeting Economies",2018,"Journal of Money, Credit and Banking","5","50","journalArticle","We examine the effects of monetary and macroprudential policies in the Asia-Pacific region, where many inflation targeting economies have adopted macroprudential policies in order to safeguard financial stability. Using structural panel vector autoregressions that identify both monetary and macroprudential policy actions, we show that tighter macroprudential policies used to contain credit growth also have a significant negative impact on macroeconomic aggregates such as real GDP and the price level. The similar effects of monetary and macroprudential policies may suggest a complementary use of the two policies at normal times. However, they could also create challenges for policymakers, especially during times when low inflation coincides with buoyant credit growth.","10.1111/jmcb.12495","https://onlinelibrary.wiley.com/doi/abs/10.1111/jmcb.12495","Kim_2018_effects",NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"ref_0013","1",7436,"W2FZKRK6","N, Cherkas; Z, Atamanchuk","Assessing macroeconomic effects of monetary policy in Ukraine",2015,"Economy and Forecasting","3",NA,"journalArticle","The paper highlights the important problem of the impact of monetary policy on macroeconomic indicators in Ukraine and analyzes the global experience of the implementation of monetary policy to achieve stable projections of economic growth. The authors review the basic opinions of researchers studying monetary policy and its impact on the equilibrium between income and balance of payments. A comparative analysis was made for the growth rates of money supply and monetization for industrial countries and transitional economies. The authors carry out an empirical estimation to assess the dependence of industrial production, total exports and technological exports on monetary factor and exchange rate using two-stage least squares model (2SLS) and vector autoregression with error correction (VECM). The main research findings include: devaluation of the hryvnia does not serve as a factor of exports stimulation, which largely depends on energy imports; currency devaluation restricts the exports of industrial production. The increase in monetization level of the economy in the short-term period improves the dynamics of industrial output, but, in the long term period, the effect is opposite. Depreciation of national currency negatively impacts the technological exports. On the whole, the authors identify a restrictive impact of the expansion of monetary policy on industrial output, primary exports and technological exports.",NA,"https://ideas.repec.org//a/eip/journl/y2015i3p123-134.html","N_2015_assessing",NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"ref_0014","1",9658,"54ZWSUAN","Parrado, Eric","EFFECTS OF FOREIGN AND DOMESTIC MONETARY POLICY IN A SMALL OPEN ECONOMY: THE CASE OF CHILE",NA,NA,NA,NA,"journalArticle","This paper considers empirical evidence for a small open economy, characterizing and identifying the dynamic effects of both foreign and monetary policy shocks on Chilean macroeconomic variables. A structural VAR approach is used with non-recursive contemporaneous restrictions. Several interesting results appear in the analysis. First, consistent with the predictions of a stochastic rational expectations model, a domestic monetary contraction generates a transitory fall in output and monetary aggregates. Second, there is no evidence of price and exchange rate puzzles. Third, the source of Chilean output, price level, and real exchange rate volatility is similar to that identified in industrial countries: monetary policy explains a relatively small proportion of output, price level, and exchange rate variability. Finally, foreign monetary policy innovations have very short-lived effects on domestic interest rates and have no major influence over other Chilean macroeconomic variables; while risk premium shocks influence significatively both the interest rate and the exchange rate. ____________________ I am grateful to Natalie Baumer, Rómulo Chumacero, Christian Johnson, Paulina Nazal, Nouriel Roubini, Klaus Schmidt-Hebbel, Raimundo Soto, and Andrés Velasco for their helpful comments and suggestions. I am also thankful to Roberto Duncan for valuable assistance and to many colleagues from the Central Bank of Chile for providing the data. I also extend my thanks to the Central Bank of Chile for generous support. All views expressed, and errors made, are those of the author and do not represent those of the International Monetary Fund. E-mail: eparrado@imf.org.",NA,NA,"Parrado_NA_effects",NA,NA,NA,NA,NA,NA,NA,NA,NA,14
"ref_0015","1",9556,"5YEAYWIM","Vonnák, Balázs","Estimating the effect of Hungarian monetary policy within a structural VAR framework",2005,NA,NA,NA,"report","A standard approach in measuring the effect of monetary policy on output and prices is to estimate a VAR model, characterise somehow the monetary policy shock and then plot impulse responses. In this paper I attempt to do this exercise with Hungarian data. I compare two identification approaches. One of them involves the ‘sign restrictions on impulse responses’ strategy applied recently by several authors. I also propose another approach, namely, imposing restrictions on implied shock history. My argument is that in certain cases, especially in the case of the Hungarian economy, the latter identification scheme may be more credible. In order to obtain robust results I use two datasets. To tackle possible structural breaks I make alternative estimates on a shorter sample as well. The main conclusions are the followings: (1) although the two identification approaches produced very similar results, imposing restrictions on history may help to dampen counterintuitive reaction of prices; (2) after 1995 a typical unanticipated monetary policy contraction (a roughly 25 basis points rate hike) resulted in an immediate 1 per cent appreciation of the nominal exchange rate (3) followed by a 0.3% lower output and 0.1-0.15% lower consumer prices; (4) the impact on prices is slower than on output; it reaches its bottom 4-6 years after the shock, resembling the intuitive choreography of sticky-price models; (5) using additional observations prior to 1995 makes identification more difficult indicating the presence of a marked structural break.",NA,"https://www.econstor.eu/handle/10419/83585","Vonnák_2005_estimating",NA,NA,NA,NA,NA,NA,NA,NA,NA,15
